species_key	species_status	species_reason	assemblies	callable_assemblies	intact_assemblies	high_intact_assemblies	supported_disrupted_assemblies	status_counts	accessions
Ovis aries	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	96	83	0	0	82	"{""DISRUPTED_POSSIBLE"": 1, ""DISRUPTED_STRONG"": 82, ""UNRESOLVED"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 8, ""UNRESOLVED_NO_GENOME"": 4}"	GCA_000005525.1;GCA_000298735.2;GCA_000765115.1;GCA_002742125.1;GCA_011170295.1;GCA_016772045.2;GCA_017524585.1;GCA_019145175.1;GCA_018804185.1;GCA_021325815.1;GCA_021325835.1;GCA_021325855.1;GCA_021325865.1;GCA_021325875.1;GCA_021325905.1;GCA_021325935.1;GCA_021326735.1;GCA_021326705.1;GCA_021326975.1;GCA_021327145.1;GCA_021327245.1;GCA_021327285.1;GCA_021327305.1;GCA_021327315.1;GCA_021327335.1;GCA_021327355.1;GCA_021327395.1;GCA_021327375.1;GCA_021327435.1;GCA_021328935.1;GCA_021328945.1;GCA_021328955.1;GCA_021328995.1;GCA_022244695.1;GCA_022244705.1;GCA_022416685.1;GCA_022416725.1;GCA_022416695.1;GCA_022416745.1;GCA_022416755.1;GCA_022416775.1;GCA_022416785.1;GCA_022432825.1;GCA_022416915.1;GCA_022432835.1;GCA_022432845.1;GCA_022538005.1;GCA_022702505.1;GCA_022702665.1;GCA_024222135.1;GCA_024222175.1;GCA_024222185.1;GCA_024256485.1;GCA_024222265.1;GCA_024256505.1;GCA_030512445.1;GCA_032433645.1;GCA_033439445.1;GCA_040259355.1;GCA_040805955.1;GCA_040543055.1;GCA_040836155.1;GCA_041121725.1;GCA_050084895.1;GCA_050916685.1;GCA_057332215.1;GCA_057332225.1;GCA_965363385.1;GCA_965364765.1;GCA_965363425.1;GCA_965363435.1;GCA_965363445.1;GCA_965363705.1;GCA_965363785.1;GCA_965364855.1;GCA_965365915.1;GCA_965637775.1;GCA_984506415.1;GCA_984506435.1;GCA_984506445.1;GCA_984506455.1;GCA_984506465.1;GCA_984506635.1;GCA_984506805.1;GCA_984506815.1;GCA_984507005.1;GCA_984506965.1;GCA_984513465.1;GCA_984514235.1;GCA_984514435.1;GCA_984514685.1;GCA_984538235.1;GCF_000298735.2;GCF_000765115.1;GCF_016772045.2;GCF_002742125.1
Ovis canadensis	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	5	3	0	0	3	"{""DISRUPTED_STRONG"": 3, ""UNRESOLVED"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_001039535.1;GCA_004026945.1;GCA_042859625.1;GCA_042477335.2;GCF_042477335.2
Ovis nivicola	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	1	1	0	0	1	"{""DISRUPTED_STRONG"": 1}"	GCA_903231385.1
Ovis orientalis	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	1	1	0	0	1	"{""DISRUPTED_STRONG"": 1}"	GCA_014523465.1
Ovis vignei	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	2	2	0	0	2	"{""DISRUPTED_STRONG"": 2}"	GCA_050084595.1;GCA_053525375.1
Pantholops hodgsonii	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	3	1	0	0	1	"{""DISRUPTED_STRONG"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_000400835.1;GCA_040182635.1;GCF_000400835.1
Philantomba maxwellii	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410695.1
Procapra przewalskii	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410515.1
Pseudois nayaur	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	1	1	0	0	1	"{""DISRUPTED_STRONG"": 1}"	GCA_003182575.1
Pseudoryx nghetinhensis	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_050436925.1
Rangifer tarandus	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	10	5	0	0	5	"{""DISRUPTED_STRONG"": 5, ""UNRESOLVED"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 4}"	GCA_004026565.1;GCA_014898785.1;GCA_019903745.2;GCA_022457185.1;GCA_902712895.1;GCA_963856025.1;GCA_951394145.2;GCA_963422255.1;GCA_949782905.1;GCA_965153185.1
Raphicerus campestris	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410735.1
Redunca redunca	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410935.1
Rucervus eldii	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	4	3	0	0	3	"{""DISRUPTED_STRONG"": 3, ""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_034233915.1;GCA_034234005.1;GCA_054824845.1;GCA_054824865.1
Rupicapra rupicapra	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	1	1	0	0	1	"{""DISRUPTED_STRONG"": 1}"	GCA_963981305.1
Rusa alfredi	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_038501445.1
Saiga tatarica	DISRUPTED_POSSIBLE	Some disruption evidence exists but is not strong enough for a species-level loss call.	1	1	0	0	0	"{""DISRUPTED_POSSIBLE"": 1}"	GCA_004024985.1
Sylvicapra grimmia	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006408735.1
Syncerus caffer	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	2	1	0	0	1	"{""DISRUPTED_STRONG"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006408785.2;GCA_902825105.1
Tragelaphus buxtoni	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006411685.1
Tragelaphus eurycerus	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	3	1	0	0	1	"{""DISRUPTED_STRONG"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_006410755.1;GCA_040438115.1;GCA_935064755.1
Tragelaphus imberbis	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410775.1
Tragelaphus oryx	DISRUPTED_POSSIBLE	Some disruption evidence exists but is not strong enough for a species-level loss call.	1	1	0	0	0	"{""DISRUPTED_POSSIBLE"": 1}"	GCA_006416875.1
Tragelaphus scriptus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410495.1
Tragelaphus spekii	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006411015.1
Tragelaphus strepsiceros	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	1	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410795.1
Tragulus javanicus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	2	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_004024965.2;GCA_022457235.1
Tragulus kanchil	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	2	1	0	0	1	"{""DISRUPTED_STRONG"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006408655.1;GCA_022376925.1
