species_key	species_status	species_reason	assemblies	callable_assemblies	intact_assemblies	high_intact_assemblies	supported_disrupted_assemblies	status_counts	accessions
Bos taurus	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	205	173	0	0	173	"{""DISRUPTED_STRONG"": 173, ""UNRESOLVED"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 25, ""UNRESOLVED_NO_GENOME"": 6}"	GCA_000003055.5;GCA_000003205.6;GCA_002263795.4;GCA_021234555.1;GCA_021347905.1;GCA_024542955.1;GCA_028973685.2;GCA_030378505.1;GCA_033032115.1;GCA_034097375.1;GCA_039881175.1;GCA_040285425.1;GCA_040286185.1;GCA_043882115.1;GCA_047652215.1;GCA_049634445.1;GCA_049634505.1;GCA_049634545.1;GCA_049634565.1;GCA_049634675.1;GCA_049634715.1;GCA_051106085.1;GCA_051122635.1;GCA_054825135.1;GCA_055691375.1;GCA_055691405.1;GCA_056748525.1;GCA_056162995.1;GCA_057190615.1;GCA_059336145.1;GCA_059997585.1;GCA_905123515.1;GCA_905123885.1;GCA_914753205.1;GCA_947034695.1;GCA_963920245.1;GCA_963920255.1;GCA_963920265.1;GCA_963921495.1;GCA_964019205.1;GCA_964019215.2;GCA_964019245.2;GCA_964019235.2;GCA_964019255.2;GCA_964019225.2;GCA_964019265.2;GCA_964019275.1;GCA_964019295.2;GCA_965153475.2;GCA_965153505.2;GCA_965153515.2;GCA_965153495.2;GCA_965153485.2;GCA_965153525.2;GCA_965153535.2;GCA_965153545.2;GCA_965153555.2;GCA_965153575.2;GCA_965153565.2;GCA_965153585.2;GCA_965153595.2;GCA_965153605.2;GCA_965153625.2;GCA_965153615.2;GCA_965153635.2;GCA_965153645.2;GCA_965153655.2;GCA_965153675.2;GCA_965153665.2;GCA_965153685.2;GCA_965153695.2;GCA_965153705.2;GCA_965153725.2;GCA_965153745.2;GCA_965153715.2;GCA_965153735.2;GCA_965153755.2;GCA_965153775.2;GCA_965153765.2;GCA_965153785.2;GCA_965153795.2;GCA_965153805.2;GCA_965153815.2;GCA_965153825.2;GCA_965153835.2;GCA_965153845.2;GCA_965153855.2;GCA_965153865.2;GCA_965153875.2;GCA_965153885.2;GCA_965153895.2;GCA_965153905.2;GCA_965153915.2;GCA_965153925.2;GCA_965153945.2;GCA_965153935.2;GCA_965153955.2;GCA_965153975.2;GCA_965153965.2;GCA_965153985.2;GCA_965153995.2;GCA_965154005.2;GCA_965154015.2;GCA_965154025.2;GCA_965154035.2;GCA_965154045.2;GCA_965154055.2;GCA_965154065.2;GCA_965154075.2;GCA_965154085.2;GCA_965154095.2;GCA_965154105.2;GCA_965154155.2;GCA_965154175.2;GCA_965154165.2;GCA_965154185.2;GCA_965154195.2;GCA_965154205.2;GCA_965154215.2;GCA_965154225.2;GCA_965154235.2;GCA_965154255.2;GCA_965154265.2;GCA_965154245.2;GCA_965154285.2;GCA_965154275.2;GCA_965154295.2;GCA_965154305.2;GCA_965154315.2;GCA_965154325.2;GCA_965154335.2;GCA_965154345.2;GCA_965154355.2;GCA_965154365.2;GCA_965154385.2;GCA_965154375.2;GCA_965154395.2;GCA_965154405.2;GCA_965154415.2;GCA_965154425.2;GCA_965154435.2;GCA_965154445.2;GCA_965177315.2;GCA_965177325.2;GCA_965177335.2;GCA_965177345.2;GCA_965177355.2;GCA_965177365.2;GCA_965177375.2;GCA_965177385.2;GCA_965177395.2;GCA_965177405.2;GCA_965177415.2;GCA_965177425.2;GCA_965177435.2;GCA_965177445.2;GCA_965177455.2;GCA_965177465.2;GCA_965177485.2;GCA_965177475.2;GCA_965177495.2;GCA_965177505.2;GCA_965177515.2;GCA_965177525.2;GCA_965177535.2;GCA_965177645.2;GCA_965177555.2;GCA_965177565.2;GCA_965177575.2;GCA_965177545.2;GCA_965177585.2;GCA_965177605.2;GCA_965177615.2;GCA_965177705.2;GCA_965177625.2;GCA_965177635.2;GCA_965177655.2;GCA_965177765.2;GCA_965177665.2;GCA_965177785.2;GCA_965177675.2;GCA_965177795.2;GCA_965177685.2;GCA_965177715.2;GCA_965177695.2;GCA_965177725.2;GCA_965177745.2;GCA_965177735.2;GCA_965177755.2;GCA_965177775.2;GCA_965177825.2;GCA_965177805.2;GCA_976986635.2;GCA_976986615.1;GCA_974728815.1;GCA_976986625.1;GCA_977927225.1;GCA_977927265.1;GCA_977927255.1;GCA_977927245.1;GCA_977970235.1;GCA_977927285.1;GCF_000003055.6;GCF_000003205.7;GCF_002263795.3
Bos taurus x Bison bison	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	3	3	0	0	3	"{""DISRUPTED_STRONG"": 3}"	GCA_018282365.1;GCA_018282465.1;GCA_030254855.1
Bubalus bubalis	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	17	8	0	0	8	"{""DISRUPTED_STRONG"": 8, ""UNRESOLVED"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 7, ""UNRESOLVED_NO_GENOME"": 1}"	GCA_000471725.1;GCA_000180995.3;GCA_003121395.1;GCA_002993835.1;GCA_004794615.1;GCA_019923925.1;GCA_019923935.1;GCA_905249985.1;GCA_965246665.2;GCA_965642205.1;GCA_965642185.1;GCA_965606195.1;GCA_965642195.1;GCF_000471725.1;GCF_003121395.1;GCF_019923925.1;GCF_019923935.1
Bubalus depressicornis	DISRUPTED_POSSIBLE	Some disruption evidence exists but is not strong enough for a species-level loss call.	1	1	0	0	0	"{""DISRUPTED_POSSIBLE"": 1}"	GCA_025584935.1
Bubalus kerabau	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	3	3	0	0	3	"{""DISRUPTED_STRONG"": 3}"	GCA_029407905.2;GCA_051307275.1;GCF_029407905.1
Budorcas taxicolor	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	2	2	0	0	2	"{""DISRUPTED_STRONG"": 2}"	GCA_023091745.2;GCF_023091745.1
Capra aegagrus	UNRESOLVED	Available assemblies do not decisively support intactness or loss.	2	0	0	0	0	"{""UNRESOLVED_ASSEMBLY_GAP"": 2}"	GCA_000765075.1;GCA_000978405.1
Capra falconeri	DISRUPTED_POSSIBLE	Some disruption evidence exists but is not strong enough for a species-level loss call.	1	1	0	0	0	"{""DISRUPTED_POSSIBLE"": 1}"	GCA_038502695.1
Capra hircus	DISRUPTED_HIGH	Multiple callable assemblies support disruption and no credible intact assembly was found.	70	61	0	0	61	"{""DISRUPTED_STRONG"": 61, ""UNRESOLVED"": 2, ""UNRESOLVED_ASSEMBLY_GAP"": 4, ""UNRESOLVED_NO_GENOME"": 3}"	GCA_000317765.2;GCA_001704415.2;GCA_004361675.1;GCA_009823495.1;GCA_018357025.1;GCA_015443085.1;GCA_026652205.1;GCA_040822015.1;GCA_040806595.1;GCA_041053135.1;GCA_040970035.1;GCA_041920685.1;GCA_041736475.1;GCA_041735815.1;GCA_042835985.1;GCA_044509215.1;GCA_044587935.1;GCA_044587905.1;GCA_044588015.1;GCA_044587945.1;GCA_046464075.1;GCA_047671635.1;GCA_047671655.1;GCA_048594055.1;GCA_048593975.1;GCA_048594065.1;GCA_048594125.1;GCA_048594135.1;GCA_048594165.1;GCA_048598025.1;GCA_048598065.1;GCA_048598055.1;GCA_048598825.1;GCA_049004405.1;GCA_049004455.1;GCA_049004495.1;GCA_049004535.1;GCA_049004595.1;GCA_049004675.1;GCA_054126965.1;GCA_055691435.1;GCA_057428545.1;GCA_057428595.1;GCA_057556445.1;GCA_057557635.1;GCA_057557695.1;GCA_057557715.1;GCA_057557795.1;GCA_057557815.1;GCA_059055555.1;GCA_059055625.1;GCA_059335595.1;GCA_907165285.1;GCA_965363395.1;GCA_965363855.1;GCA_965363845.1;GCA_965364655.1;GCA_965363885.1;GCA_965365925.1;GCA_965365845.1;GCA_977879435.1;GCA_977879805.1;GCA_977880105.2;GCA_984506425.1;GCA_984506515.1;GCA_984506535.1;GCA_984506825.1;GCA_984513515.1;GCA_984513855.1;GCF_001704415.2
Capra ibex	DISRUPTED_LIKELY	At least one callable assembly supports disruption and no intact model was found, but replication is limited.	2	1	0	0	1	"{""DISRUPTED_STRONG"": 1, ""UNRESOLVED_ASSEMBLY_GAP"": 1}"	GCA_006410555.1;GCA_054642885.1
