clade	descendants	callable_descendants	disrupted_descendants	intact_descendants	disrupted_fraction	candidate_shared_loss	descendant_species
Bovini	14	11	11	0	1.0	True	Bison bison;Bison bonasus;Bos frontalis;Bos gaurus;Bos grunniens;Bos indicus;Bos javanicus;Bos mutus;Bos taurus;Bubalus bubalis;Bubalus depressicornis;Bubalus kerabau;Syncerus caffer;Pseudoryx nghetinhensis
Bos	7	7	7	0	1.0	True	Bos frontalis;Bos gaurus;Bos grunniens;Bos indicus;Bos javanicus;Bos mutus;Bos taurus
Cervini	11	6	6	0	1.0	True	Axis porcinus;Cervus albirostris;Cervus canadensis;Cervus elaphus;Cervus hanglu;Cervus nippon;Dama dama;Megaloceros giganteus;Elaphurus davidianus;Rucervus eldii;Rusa alfredi
Capreolinae	7	6	6	0	1.0	True	Alces alces;Capreolus capreolus;Capreolus pygargus;Hydropotes inermis;Odocoileus hemionus;Odocoileus virginianus;Rangifer tarandus
Ovis	6	6	6	0	1.0	True	Ovis ammon;Ovis aries;Ovis canadensis;Ovis nivicola;Ovis orientalis;Ovis vignei
Muntiacus	6	5	5	0	1.0	True	Muntiacus crinifrons;Muntiacus feae;Muntiacus gongshanensis;Muntiacus muntjak;Muntiacus reevesi;Muntiacus vaginalis
Giraffidae	3	3	3	0	1.0	True	Giraffa camelopardalis;Giraffa tippelskirchi;Okapia johnstoni
Cervus	5	3	3	0	1.0	True	Cervus albirostris;Cervus canadensis;Cervus elaphus;Cervus hanglu;Cervus nippon
Odocoileini	3	3	3	0	1.0	True	Odocoileus hemionus;Odocoileus virginianus;Rangifer tarandus
Capra	6	3	3	0	1.0	True	Capra aegagrus;Capra falconeri;Capra hircus;Capra ibex;Capra nubiana;Capra sibirica
Giraffa	2	2	2	0	1.0	True	Giraffa camelopardalis;Giraffa tippelskirchi
Capreolini	3	2	2	0	1.0	True	Capreolus capreolus;Capreolus pygargus;Hydropotes inermis
Odocoileus	2	2	2	0	1.0	True	Odocoileus hemionus;Odocoileus virginianus
Bubalus	3	2	2	0	1.0	True	Bubalus bubalis;Bubalus depressicornis;Bubalus kerabau
Hippotragini	5	2	2	0	1.0	True	Addax nasomaculatus;Hippotragus equinus;Hippotragus niger;Oryx dammah;Oryx gazella
