model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Negative selection,0.134,80.397,SRV,8
alternative,reference,Negative selection,0.596,18.564,SRV,8
alternative,reference,Neutral evolution,1.0,1.039,SRV,8
alternative,test,Negative selection,0.152,80.397,SRV,8
alternative,test,Negative selection,0.615,18.564,SRV,8
alternative,test,Negative selection,0.134,80.397,SRV,8
alternative,test,Negative selection,0.596,18.564,SRV,8
alternative,test,Neutral evolution,1.0,1.039,SRV,8
alternative,test,Neutral evolution,1.0,1.039,SRV,8
null,reference,Negative selection,0.136,80.16,SRV,8
null,reference,Negative selection,0.595,18.992,SRV,8
null,reference,Neutral evolution,1.0,0.848,SRV,8
null,test,Negative selection,0.136,80.16,SRV,8
null,test,Negative selection,0.595,18.992,SRV,8
null,test,Neutral evolution,1.0,0.848,SRV,8
alternative,reference,Negative selection,0.001,19.99,SRV,9
alternative,reference,Negative selection,0.239,75.018,SRV,9
alternative,reference,Neutral evolution,1.0,4.992,SRV,9
alternative,test,Negative selection,0.001,19.99,SRV,9
alternative,test,Negative selection,0.26,75.018,SRV,9
alternative,test,Negative selection,0.001,19.99,SRV,9
alternative,test,Negative selection,0.239,75.018,SRV,9
alternative,test,Neutral evolution,1.0,4.992,SRV,9
alternative,test,Neutral evolution,1.0,4.992,SRV,9
null,reference,Negative selection,0.0,19.811,SRV,9
null,reference,Negative selection,0.241,75.242,SRV,9
null,reference,Neutral evolution,1.0,4.947,SRV,9
null,test,Negative selection,0.0,19.811,SRV,9
null,test,Negative selection,0.241,75.242,SRV,9
null,test,Neutral evolution,1.0,4.947,SRV,9
alternative,reference,Diversifying selection,4.406,0.113,SRV,10
alternative,reference,Negative selection,0.074,54.98,SRV,10
alternative,reference,Negative selection,0.41,44.908,SRV,10
alternative,test,Diversifying selection,4.027,0.113,SRV,10
alternative,test,Diversifying selection,4.406,0.113,SRV,10
alternative,test,Negative selection,0.087,54.98,SRV,10
alternative,test,Negative selection,0.433,44.908,SRV,10
alternative,test,Negative selection,0.074,54.98,SRV,10
alternative,test,Negative selection,0.41,44.908,SRV,10
null,reference,Diversifying selection,5.344,0.091,SRV,10
null,reference,Negative selection,0.077,55.03,SRV,10
null,reference,Negative selection,0.411,44.878,SRV,10
null,test,Diversifying selection,5.344,0.091,SRV,10
null,test,Negative selection,0.077,55.03,SRV,10
null,test,Negative selection,0.411,44.878,SRV,10
alternative,reference,Diversifying selection,1.136,0.0,SRV+Double,1
alternative,reference,Negative selection,0.137,72.846,SRV+Double,1
alternative,reference,Negative selection,0.455,27.154,SRV+Double,1
alternative,test,Diversifying selection,1.131,0.0,SRV+Double,1
alternative,test,Diversifying selection,1.136,0.0,SRV+Double,1
alternative,test,Negative selection,0.147,72.846,SRV+Double,1
alternative,test,Negative selection,0.469,27.154,SRV+Double,1
alternative,test,Negative selection,0.137,72.846,SRV+Double,1
alternative,test,Negative selection,0.455,27.154,SRV+Double,1
null,reference,Diversifying selection,1.746,0.0,SRV+Double,1
null,reference,Negative selection,0.137,70.597,SRV+Double,1
null,reference,Negative selection,0.433,29.403,SRV+Double,1
null,test,Diversifying selection,1.746,0.0,SRV+Double,1
null,test,Negative selection,0.137,70.597,SRV+Double,1
null,test,Negative selection,0.433,29.403,SRV+Double,1
alternative,reference,Diversifying selection,3.241,0.0,SRV+Double,2
alternative,reference,Negative selection,0.153,79.837,SRV+Double,2
alternative,reference,Negative selection,0.504,20.163,SRV+Double,2
alternative,test,Diversifying selection,3.107,0.0,SRV+Double,2
alternative,test,Diversifying selection,3.241,0.0,SRV+Double,2
alternative,test,Negative selection,0.164,79.837,SRV+Double,2
alternative,test,Negative selection,0.517,20.163,SRV+Double,2
alternative,test,Negative selection,0.153,79.837,SRV+Double,2
alternative,test,Negative selection,0.504,20.163,SRV+Double,2
null,reference,Diversifying selection,1.06,0.0,SRV+Double,2
null,reference,Negative selection,0.152,77.762,SRV+Double,2
null,reference,Negative selection,0.477,22.238,SRV+Double,2
null,test,Diversifying selection,1.06,0.0,SRV+Double,2
null,test,Negative selection,0.152,77.762,SRV+Double,2
null,test,Negative selection,0.477,22.238,SRV+Double,2
alternative,reference,Diversifying selection,3.145,0.0,SRV+Double,3
alternative,reference,Negative selection,0.0,18.905,SRV+Double,3
alternative,reference,Negative selection,0.272,81.095,SRV+Double,3
alternative,test,Diversifying selection,3.065,0.0,SRV+Double,3
alternative,test,Diversifying selection,3.145,0.0,SRV+Double,3
alternative,test,Negative selection,0.0,18.905,SRV+Double,3
alternative,test,Negative selection,0.28,81.095,SRV+Double,3
alternative,test,Negative selection,0.0,18.905,SRV+Double,3
alternative,test,Negative selection,0.272,81.095,SRV+Double,3
null,reference,Diversifying selection,1.29,0.0,SRV+Double,3
null,reference,Negative selection,0.0,19.016,SRV+Double,3
