species	tree_id	in_tree	species_status	assembly_status	callable_fraction	reconstructed_fraction	n_fraction	internal_stop_count_naive	frame_remainder	supported_events	quality_score	strict_species_intact	conflicting_fallback_eligible	selected	selection_tier	rejection_reason
Capra ibex	Capra_ibex	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.965913168281306	0.965913168281306	0.01098901098901099	17	0	10	175.3554276817829	False	False	False		loss_status_excluded
Capra nubiana	Capra_nubiana	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.965913168281306	0.965913168281306	0.010993037742762916	38	2	12	175.3553874142454	False	False	False		loss_status_excluded
Capra sibirica	Capra_sibirica	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9651955507714388	0.9651955507714388	0.011721611721611722	17	0	10	132.27633992347018	False	False	False		not_intact_background_status
Capreolus capreolus	Capreolus_capreolus	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9684248295658414	0.9684248295658414	0.002571638501102131	38	1	8	169.81676657157314	False	False	False		loss_status_excluded
Capreolus pygargus	Capreolus_pygargus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9702188733405095	0.9702188733405095	0.002566923359002567	39	0	10	132.9962181004609	False	False	False		not_intact_background_status
Capricornis sumatraensis	Capricornis_sumatraensis	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9669895945461069	0.9669895945461069	0.010968921389396709	35	2	14	175.46327120425912	False	False	False		loss_status_excluded
Cephalophula zebra	Cephalophula_zebra	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9709364908503767	0.9709364908503767	0.007681053401609363	24	1	19	175.94166163713498	False	False	False		loss_status_excluded
Cephalophus harveyi	Cephalophus_harveyi	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9637603157517043	0.9637603157517043	0.013577981651376147	32	1	15	132.16507484477006	False	False	False		not_intact_background_status
Cervus albirostris	Cervus_albirostris	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9002511661284536	0.9002511661284536	0.0747800586510264	21	1	9	167.70297083236426	False	False	False		loss_status_excluded
Cervus canadensis	Cervus_canadensis	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9085037674919269	0.9085037674919269	0.06598240469208211	20	1	8	128.61620750830102	False	False	False		not_intact_background_status
Cervus elaphus	Cervus_elaphus	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9088625762468604	0.9088625762468604	0.0659582264565775	50	2	8	168.65233016614943	False	False	False		loss_status_excluded
Cervus hanglu	Cervus_hanglu	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9088625762468604	0.9088625762468604	0.0659582264565775	52	2	9	128.65233016614943	False	False	False		not_intact_background_status
Cervus nippon	Cervus_nippon	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9002511661284536	0.9002511661284536	0.07373774064656738	41	2	10	167.72435892468954	False	False	False		loss_status_excluded
Connochaetes taurinus	Connochaetes_taurinus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9583781844277001	0.9583781844277001	0.01582627898417372	48	2	11	131.50096449240482	False	False	False		not_intact_background_status
Dama dama	Dama_dama	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9730893433799784	0.9730893433799784	0.0018301610541727673	42	2	9	176.2906327274561	False	False	False		loss_status_excluded
Damaliscus lunatus	Damaliscus_lunatus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9594546106925009	0.9594546106925009	0.01471129091577786	22	1	12	131.61975699956884	False	False	False		not_intact_background_status
Elaphurus davidianus	Elaphurus_davidianus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9085037674919269	0.9085037674919269	0.06598240469208211	39	1	8	125.28756901064844	False	False	False		not_intact_background_status
Equus caballus	Equus_caballus	True	EXTERNAL_INTACT	EXTERNAL_REFSEQ_INTACT	0.9989235737351991	0.9989235737351991	0.0	0	0	0	379.8600645855759	True	False	True	strict_species_intact	
Eudorcas thomsonii	Eudorcas_thomsonii	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9149623250807319	0.9149623250807319	0.06346294937637564	21	2	13	123.97723952364018	False	False	False		not_intact_background_status
Felis catus	Felis_catus	True	EXTERNAL_INTACT	EXTERNAL_REFSEQ_INTACT	0.9989235737351991	0.9989235737351991	0.0	0	0	0	379.8600645855759	True	False	True	strict_species_intact	
Giraffa camelopardalis	Giraffa_camelopardalis	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.9881593110871906	0.9881593110871906	0.0018115942028985507	33	0	15	177.79781516669004	False	False	False		loss_status_excluded
Giraffa tippelskirchi	Giraffa_tippelskirchi	True	DISRUPTED_HIGH	DISRUPTED_STRONG	0.9881593110871906	0.9881593110871906	0.0018115942028985507	32	0	13	180.79781516669004	False	False	False		loss_status_excluded
Hippotragus equinus	Hippotragus_equinus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9680660208109078	0.9680660208109078	0.010964912280701754	39	0	13	132.57095392182617	False	False	False		not_intact_background_status
Hippotragus niger	Hippotragus_niger	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9594546106925009	0.9594546106925009	0.011061946902654867	40	0	14	131.70884256376596	False	False	False		not_intact_background_status
Homo sapiens	Homo_sapiens	True	EXTERNAL_INTACT	EXTERNAL_REFSEQ_INTACT	0.9967707212055974	0.9967707212055974	0.0	0	0	0	379.5801937567276	True	False	True	strict_species_intact	
Hydropotes inermis	Hydropotes_inermis	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.956584140653032	0.956584140653032	0.016489556614144377	35	2	9	177.44572877395268	False	False	False		loss_status_excluded
Kobus ellipsiprymnus	Kobus_ellipsiprymnus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9680660208109078	0.9680660208109078	0.004789977892409728	40	2	12	132.6835253882801	False	False	False		not_intact_background_status
Kobus leche	Kobus_leche	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9677072120559742	0.9677072120559742	0.005158437730287398	39	2	12	132.64395991440796	False	False	False		not_intact_background_status
Litocranius walleri	Litocranius_walleri	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9655543595263725	0.9655543595263725	0.009204712812960236	43	1	11	132.24630247289215	False	False	False		not_intact_background_status
Madoqua kirkii	Madoqua_kirkii	True	DISRUPTED_POSSIBLE	DISRUPTED_POSSIBLE	0.5357014711158953	0.5357014711158953	0.45731928804940064	31	2	12	103.2838895180308	False	False	False		loss_status_excluded;callable_below_0.70
