metric	value
ntaxa	21
L_total	2784
L_valid_sites	2784
H_bar	0.146271
HFSS	1.304993
Var_HFSS	0.004477
Iss	0.112085
Iss_pos1	0.080554
Iss_pos2	0.064172
Iss_pos3	0.191530
pools_A	0.274835
pools_C	0.237501
pools_G	0.210707
pools_T	0.276957
