metric	value
ntaxa	4
L_total	2784
L_valid_sites	2784
H_bar	0.150054
HFSS	0.906206
Var_HFSS	0.075313
Iss	0.165585
Iss_pos1	0.113160
Iss_pos2	0.083162
Iss_pos3	0.300432
pools_A	0.288673
pools_C	0.221952
pools_G	0.193049
pools_T	0.296326
