metric	value
ntaxa	5
L_total	2784
L_valid_sites	2784
H_bar	0.046589
HFSS	1.004867
Var_HFSS	0.060253
Iss	0.046364
Iss_pos1	0.036419
Iss_pos2	0.022188
Iss_pos3	0.080485
pools_A	0.278951
pools_C	0.225862
pools_G	0.203520
pools_T	0.291667
