model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.319,1.361,SRV,8
alternative,reference,Negative selection,0.027,2.532,SRV,8
alternative,reference,Negative selection,0.203,96.107,SRV,8
alternative,test,Diversifying selection,1.319,1.361,SRV,8
alternative,test,Diversifying selection,1.319,1.361,SRV,8
alternative,test,Negative selection,0.027,2.532,SRV,8
alternative,test,Negative selection,0.203,96.107,SRV,8
alternative,test,Negative selection,0.027,2.532,SRV,8
alternative,test,Negative selection,0.203,96.107,SRV,8
null,reference,Diversifying selection,1.39,1.311,SRV,8
null,reference,Negative selection,0.055,2.459,SRV,8
null,reference,Negative selection,0.202,96.231,SRV,8
null,test,Diversifying selection,1.39,1.311,SRV,8
null,test,Negative selection,0.055,2.459,SRV,8
null,test,Negative selection,0.202,96.231,SRV,8
alternative,reference,Diversifying selection,1.019,2.018,SRV,9
alternative,reference,Negative selection,0.015,3.848,SRV,9
alternative,reference,Negative selection,0.204,94.134,SRV,9
alternative,test,Diversifying selection,1.019,2.018,SRV,9
alternative,test,Diversifying selection,1.019,2.018,SRV,9
alternative,test,Negative selection,0.015,3.848,SRV,9
alternative,test,Negative selection,0.204,94.134,SRV,9
alternative,test,Negative selection,0.015,3.848,SRV,9
alternative,test,Negative selection,0.204,94.134,SRV,9
null,reference,Diversifying selection,1.398,1.327,SRV,9
null,reference,Negative selection,0.152,2.385,SRV,9
null,reference,Negative selection,0.199,96.289,SRV,9
null,test,Diversifying selection,1.398,1.327,SRV,9
null,test,Negative selection,0.152,2.385,SRV,9
null,test,Negative selection,0.199,96.289,SRV,9
alternative,reference,Diversifying selection,2.148,0.408,SRV,10
alternative,reference,Negative selection,0.172,74.844,SRV,10
alternative,reference,Negative selection,0.308,24.747,SRV,10
alternative,test,Diversifying selection,2.145,0.408,SRV,10
alternative,test,Diversifying selection,2.148,0.408,SRV,10
alternative,test,Negative selection,0.173,74.844,SRV,10
alternative,test,Negative selection,0.309,24.747,SRV,10
alternative,test,Negative selection,0.172,74.844,SRV,10
alternative,test,Negative selection,0.308,24.747,SRV,10
null,reference,Diversifying selection,2.046,0.47,SRV,10
null,reference,Negative selection,0.172,74.742,SRV,10
null,reference,Negative selection,0.305,24.788,SRV,10
null,test,Diversifying selection,2.046,0.47,SRV,10
null,test,Negative selection,0.172,74.742,SRV,10
null,test,Negative selection,0.305,24.788,SRV,10
alternative,reference,Diversifying selection,3.664,0.0,SRV+Double,1
alternative,reference,Negative selection,0.103,48.121,SRV+Double,1
alternative,reference,Negative selection,0.317,51.879,SRV+Double,1
alternative,test,Diversifying selection,3.691,0.0,SRV+Double,1
alternative,test,Diversifying selection,3.664,0.0,SRV+Double,1
alternative,test,Negative selection,0.101,48.121,SRV+Double,1
alternative,test,Negative selection,0.315,51.879,SRV+Double,1
alternative,test,Negative selection,0.103,48.121,SRV+Double,1
alternative,test,Negative selection,0.317,51.879,SRV+Double,1
null,reference,Diversifying selection,2.736,0.0,SRV+Double,1
null,reference,Negative selection,0.103,47.864,SRV+Double,1
null,reference,Negative selection,0.315,52.136,SRV+Double,1
null,test,Diversifying selection,2.736,0.0,SRV+Double,1
null,test,Negative selection,0.103,47.864,SRV+Double,1
null,test,Negative selection,0.315,52.136,SRV+Double,1
alternative,reference,Diversifying selection,1.1,1.478,SRV+Double,2
alternative,reference,Negative selection,0.133,45.21,SRV+Double,2
alternative,reference,Negative selection,0.258,53.312,SRV+Double,2
alternative,test,Diversifying selection,1.1,1.478,SRV+Double,2
alternative,test,Diversifying selection,1.1,1.478,SRV+Double,2
alternative,test,Negative selection,0.133,45.21,SRV+Double,2
alternative,test,Negative selection,0.258,53.312,SRV+Double,2
alternative,test,Negative selection,0.133,45.21,SRV+Double,2
alternative,test,Negative selection,0.258,53.312,SRV+Double,2
null,reference,Diversifying selection,1.137,1.449,SRV+Double,2
null,reference,Negative selection,0.134,45.032,SRV+Double,2
null,reference,Negative selection,0.255,53.519,SRV+Double,2
null,test,Diversifying selection,1.137,1.449,SRV+Double,2
null,test,Negative selection,0.134,45.032,SRV+Double,2
null,test,Negative selection,0.255,53.519,SRV+Double,2
alternative,reference,Diversifying selection,1.008,0.0,SRV+Double,3
alternative,reference,Negative selection,0.019,22.758,SRV+Double,3
alternative,reference,Negative selection,0.271,77.242,SRV+Double,3
alternative,test,Diversifying selection,1.008,0.0,SRV+Double,3
alternative,test,Diversifying selection,1.008,0.0,SRV+Double,3
alternative,test,Negative selection,0.018,22.758,SRV+Double,3
alternative,test,Negative selection,0.268,77.242,SRV+Double,3
alternative,test,Negative selection,0.019,22.758,SRV+Double,3
alternative,test,Negative selection,0.271,77.242,SRV+Double,3
null,reference,Diversifying selection,6.56,0.0,SRV+Double,3
null,reference,Negative selection,0.019,22.595,SRV+Double,3
null,reference,Negative selection,0.27,77.405,SRV+Double,3
null,test,Diversifying selection,6.56,0.0,SRV+Double,3
null,test,Negative selection,0.019,22.595,SRV+Double,3
null,test,Negative selection,0.27,77.405,SRV+Double,3
alternative,reference,Diversifying selection,1.011,0.0,SRV+Double,4
alternative,reference,Negative selection,0.097,47.779,SRV+Double,4
alternative,reference,Negative selection,0.321,52.221,SRV+Double,4
alternative,test,Diversifying selection,1.011,0.0,SRV+Double,4
alternative,test,Diversifying selection,1.011,0.0,SRV+Double,4
alternative,test,Negative selection,0.096,47.779,SRV+Double,4
alternative,test,Negative selection,0.319,52.221,SRV+Double,4
alternative,test,Negative selection,0.097,47.779,SRV+Double,4
alternative,test,Negative selection,0.321,52.221,SRV+Double,4
null,reference,Diversifying selection,6.557,0.0,SRV+Double,4
null,reference,Negative selection,0.098,47.305,SRV+Double,4
null,reference,Negative selection,0.317,52.695,SRV+Double,4
null,test,Diversifying selection,6.557,0.0,SRV+Double,4
null,test,Negative selection,0.098,47.305,SRV+Double,4
null,test,Negative selection,0.317,52.695,SRV+Double,4
alternative,reference,Diversifying selection,1.005,0.0,SRV+Double,5
alternative,reference,Negative selection,0.103,50.037,SRV+Double,5
alternative,reference,Negative selection,0.324,49.963,SRV+Double,5
alternative,test,Diversifying selection,1.005,0.0,SRV+Double,5
alternative,test,Diversifying selection,1.005,0.0,SRV+Double,5
alternative,test,Negative selection,0.102,50.037,SRV+Double,5
