Tursiops truncatus
Hippopotamus amphibius
Bos taurus
Sus scrofa
Camelus bactrianus
Manis javanica
Canis lupus
Equus caballus
Rhinolophus ferrumequinum
Myotis myotis
Suncus etruscus
Erinaceus europaeus
Oryctolagus cuniculus
Ochotona princeps
Rattus norvegicus
Cavia porcellus
Homo sapiens
Trichechus manatus
Loxodonta africana
Vombatus ursinus
Tachyglossus aculeatus
Ornithorhynchus anatinus
Gallus gallus
Rana temporaria
