Octodon degus
Ctenomys sociabilis
Capromys pilorides
Myocastor coypus
Dinomys branickii
Chinchilla lanigera
Cavia porcellus
Hydrochoerus hydrochaeris
Dasyprocta punctata
Cuniculus paca
Erethizon dorsatum
Heterocephalus glaber
Hystrix cristata
Peromyscus leucopus
Mus musculus
Castor canadensis
Hipposideros armiger
Rhinolophus ferrumequinum
Craseonycteris thonglongyai
Megaderma lyra
Pteropus giganteus
