Camelus bactrianus
Sus scrofa
Hippopotamus amphibius
Cetacea
Tragulus javanicus
Antilocapra americana
Giraffa camelopardalis
Okapia johnstoni
Muntiacus muntjak
Cervus canadensis
Hydropotes inermis
Odocoileus virginianus
Budorcas taxicolor
Capra hircus
Ovis aries
Bubalus bubalis
Bison bison
Bos taurus
Bos indicus
