Type,Num_Taxa,Taxa
Shared,2,"('Camelus_bactrianus', 'Camelus_dromedarius', 'Hippopotamus_amphibius', 'Phacochoerus_africanus', 'Sus_scrofa', 'Vicugna_pacos');()"
Shared,2,"('Camelus_bactrianus', 'Camelus_dromedarius', 'Hippopotamus_amphibius', 'Phacochoerus_africanus', 'Vicugna_pacos');('Sus_scrofa',)"
Shared,2,"('Camelus_bactrianus', 'Hippopotamus_amphibius', 'Phacochoerus_africanus', 'Sus_scrofa', 'Vicugna_pacos');('Camelus_dromedarius',)"
Shared,2,"('Camelus_bactrianus',);('Camelus_dromedarius', 'Hippopotamus_amphibius', 'Phacochoerus_africanus', 'Sus_scrofa', 'Vicugna_pacos')"
Shared,2,"('Camelus_bactrianus', 'Camelus_dromedarius', 'Hippopotamus_amphibius', 'Sus_scrofa', 'Vicugna_pacos');('Phacochoerus_africanus',)"
Shared,2,"('Camelus_bactrianus', 'Camelus_dromedarius');('Hippopotamus_amphibius', 'Phacochoerus_africanus', 'Sus_scrofa', 'Vicugna_pacos')"
Shared,2,"('Camelus_bactrianus', 'Camelus_dromedarius', 'Hippopotamus_amphibius', 'Vicugna_pacos');('Phacochoerus_africanus', 'Sus_scrofa')"
Shared,2,"('Camelus_bactrianus', 'Camelus_dromedarius', 'Phacochoerus_africanus', 'Sus_scrofa', 'Vicugna_pacos');('Hippopotamus_amphibius',)"
Shared,2,"('Camelus_bactrianus', 'Camelus_dromedarius', 'Hippopotamus_amphibius', 'Phacochoerus_africanus', 'Sus_scrofa');('Vicugna_pacos',)"
Shared,2,"('Camelus_bactrianus', 'Camelus_dromedarius', 'Vicugna_pacos');('Hippopotamus_amphibius', 'Phacochoerus_africanus', 'Sus_scrofa')"
