metric	value
ntaxa	46
L_total	2784
L_valid_sites	2784
H_bar	0.099920
HFSS	1.344243
Var_HFSS	0.001116
Iss	0.074332
Iss_pos1	0.052719
Iss_pos2	0.033554
Iss_pos3	0.136722
pools_A	0.280733
pools_C	0.231920
pools_G	0.205077
pools_T	0.282271
