Foreground	Background	final_k-value	final_p-value	Interpretation_from_test
Elephas_maximus	Afrotheria,Xenarthra	5.77	0.3833	Non-significant
Chrysochloris_asiatica	Afrotheria,Xenarthra	2.28	0.0503	Non-significant
Echinops_telfairi	Afrotheria,Xenarthra	0.99	0.9885	Non-significant
Prionailurus_viverrinus	Carnivora,Pholidota	0.00	0.1445	Non-significant
Ursus_maritimus	Carnivora,Pholidota	13.48	0.2126	Non-significant
Ursus_americanus	Carnivora,Pholidota	0.80	0.7840	Non-significant
Zalophus_californianus	Carnivora,Pholidota	17.16	0.3195	Non-significant
Panthera_onca	Carnivora,Pholidota	2.02	0.5851	Non-significant
Vulpes_vulpes	Carnivora,Pholidota	1.63	0.5987	Non-significant
Panthera_leo	Carnivora,Pholidota	2.08	0.5845	Non-significant
Meles_meles	Carnivora,Pholidota	1.16	0.7668	Non-significant
Mustela_lutreola	Carnivora,Pholidota	0.02	0.2199	Non-significant
Enhydra_lutris	Carnivora,Pholidota	0.18	0.0611	Non-significant
Neomonachus_schauinslandi	Carnivora,Pholidota	0.19	0.3057	Non-significant
Mustela_putorius	Carnivora,Pholidota	1.76	0.5369	Non-significant
Mustela_erminea	Carnivora,Pholidota	1.95	0.3327	Non-significant
Ailuropoda_melanoleuca	Carnivora,Pholidota	1.34	0.6341	Non-significant
Suricata_suricatta	Carnivora,Pholidota	0.75	0.2534	Non-significant
Eumetopias_jubatus	Carnivora,Pholidota	1.13	0.8830	Non-significant
Callorhinus_ursinus	Carnivora,Pholidota	2.66	0.3473	Non-significant
Lutra_lutra	Carnivora,Pholidota	0.73	0.6152	Non-significant
Puma_concolor	Carnivora,Pholidota	22.87	0.4840	Non-significant
Leptonychotes_weddellii	Carnivora,Pholidota	0.75	0.6945	Non-significant
Halichoerus_grypus	Carnivora,Pholidota	0.42	0.7297	Non-significant
Mirounga_leonina	Carnivora,Pholidota	30.97	0.4824	Non-significant
Lynx_canadensis	Carnivora,Pholidota	42.09	0.5280	Non-significant
Mustela_nigripes	Carnivora,Pholidota	0.37	0.4547	Non-significant
Acinonyx_jubatus	Carnivora,Pholidota	0.65	0.5396	Non-significant
Panthera_tigris	Carnivora,Pholidota	0.13	0.3652	Non-significant
Panthera_pardus	Carnivora,Pholidota	0.39	0.4893	Non-significant
Felis_catus	Carnivora,Pholidota	0.00	0.0282	relaxation
Phoca_vitulina	Carnivora,Pholidota	0.71	0.7903	Non-significant
Manis_javanica	Carnivora,Pholidota	0.78	0.6769	Non-significant
Nyctereutes_procyonoides	Carnivora,Pholidota	1.06	0.9817	Non-significant
Puma_yagouaroundi	Carnivora,Pholidota	2.01	0.5902	Non-significant
Manis_pentadactyla	Carnivora,Pholidota	0.98	0.9719	Non-significant
Canis_lupus	Carnivora,Pholidota	1.56	0.6112	Non-significant
Neogale_vison	Carnivora,Pholidota	32.38	0.0107	intensification
Prionailurus_bengalensis	Carnivora,Pholidota	1.14	0.9168	Non-significant
Hyaena_hyaena	Carnivora,Pholidota	0.73	0.4014	Non-significant
Leopardus_geoffroyi	Carnivora,Pholidota	0.54	0.3756	Non-significant
Vulpes_lagopus	Carnivora,Pholidota	2.16	0.5856	Non-significant
Odobenus_rosmarus	Carnivora,Pholidota	1.84	0.4124	Non-significant
Mirounga_angustirostris	Carnivora,Pholidota	40.19	0.1677	Non-significant
Lontra_canadensis	Carnivora,Pholidota	0.73	0.6421	Non-significant
Neofelis_nebulosa	Carnivora,Pholidota	24.04	0.0840	Non-significant
Ursus_arctos	Carnivora,Pholidota	0.48	0.7303	Non-significant
Panthera_uncia	Carnivora,Pholidota	0.56	0.5442	Non-significant
Lynx_rufus	Carnivora,Pholidota	1.40	0.7399	Non-significant
Sorex_fumeus	Eulipotyphla	0.00	0.1653	Non-significant
Sorex_araneus	Eulipotyphla	1.96	0.4957	Non-significant
Erinaceus_europaeus	Eulipotyphla	1.38	0.3537	Non-significant
Condylura_cristata	Eulipotyphla	0.95	0.7904	Non-significant
Macaca_nemestrina	Primates,Scandentia,Dermoptera	1.07	0.9670	Non-significant
Carlito_syrichta	Primates,Scandentia,Dermoptera	0.98	0.8438	Non-significant
Propithecus_coquereli	Primates,Scandentia,Dermoptera	1.05	0.9098	Non-significant
Theropithecus_gelada	Primates,Scandentia,Dermoptera	1.16	0.8577	Non-significant
Sapajus_apella	Primates,Scandentia,Dermoptera	0.69	0.6838	Non-significant
Tupaia_chinensis	Primates,Scandentia,Dermoptera	1.05	0.6923	Non-significant
Pan_paniscus	Primates,Scandentia,Dermoptera	1.12	0.8700	Non-significant
Microcebus_murinus	Primates,Scandentia,Dermoptera	1.31	0.1958	Non-significant
Rhinopithecus_roxellana	Primates,Scandentia,Dermoptera	2.56	0.2516	Non-significant
Cebus_imitator	Primates,Scandentia,Dermoptera	1.04	0.9812	Non-significant
Mandrillus_leucophaeus	Primates,Scandentia,Dermoptera	0.88	0.9541	Non-significant
Cercocebus_atys	Primates,Scandentia,Dermoptera	7.43	0.2279	Non-significant
Hylobates_moloch	Primates,Scandentia,Dermoptera	2.07	0.6183	Non-significant
Aotus_nancymaae	Primates,Scandentia,Dermoptera	0.23	0.0147	relaxation
Trachypithecus_francoisi	Primates,Scandentia,Dermoptera	2.17	0.4584	Non-significant
Pongo_pygmaeus	Primates,Scandentia,Dermoptera	0.85	1.0000	Non-significant
Chlorocebus_sabaeus	Primates,Scandentia,Dermoptera	1.07	0.8976	Non-significant
Gorilla_gorilla	Primates,Scandentia,Dermoptera	1.47	0.2414	Non-significant
Callithrix_jacchus	Primates,Scandentia,Dermoptera	0.53	0.0586	Non-significant
Lemur_catta	Primates,Scandentia,Dermoptera	1.51	0.7461	Non-significant
Eulemur_rufifrons	Primates,Scandentia,Dermoptera	0.91	0.9003	Non-significant
Homo_sapiens	Primates,Scandentia,Dermoptera	2.98	0.0022	intensification
Galeopterus_variegatus	Primates,Scandentia,Dermoptera	0.87	0.8163	Non-significant
Nycticebus_coucang	Primates,Scandentia,Dermoptera	0.86	0.5426	Non-significant
Macaca_mulatta	Primates,Scandentia,Dermoptera	6.20	0.0876	Non-significant
Symphalangus_syndactylus	Primates,Scandentia,Dermoptera	1.11	0.8829	Non-significant
Colobus_angolensis	Primates,Scandentia,Dermoptera	0.75	0.5700	Non-significant
Pongo_abelii	Primates,Scandentia,Dermoptera	0.85	1.0000	Non-significant
Rhinopithecus_bieti	Primates,Scandentia,Dermoptera	2.82	0.1499	Non-significant
Otolemur_garnettii	Primates,Scandentia,Dermoptera	1.37	0.0682	Non-significant
Papio_anubis	Primates,Scandentia,Dermoptera	2.36	0.4497	Non-significant
Nomascus_leucogenys	Primates,Scandentia,Dermoptera	2.41	0.3341	Non-significant
Piliocolobus_tephrosceles	Primates,Scandentia,Dermoptera	1.74	0.1071	Non-significant
Cynocephalus_volans	Primates,Scandentia,Dermoptera	0.49	0.5027	Non-significant
Macaca_fascicularis	Primates,Scandentia,Dermoptera	1.13	0.9246	Non-significant
Macaca_thibetana	Primates,Scandentia,Dermoptera	0.91	0.9341	Non-significant
Saimiri_boliviensis	Primates,Scandentia,Dermoptera	0.96	0.9367	Non-significant
Hippopotamus_amphibius	Artiodactyla	1.23	0.3822	Non-significant
Sus_scrofa	Artiodactyla	0.00	0.0198	relaxation
Camelus_bactrianus	Artiodactyla	37.69	0.3955	Non-significant
Vicugna_pacos	Artiodactyla	32.10	0.2974	Non-significant
Camelus_dromedarius	Artiodactyla	2.03	1.0000	Non-significant
Phacochoerus_africanus	Artiodactyla	0.82	0.8259	Non-significant
Equus_caballus	Perissodactyla	1.00	1.0000	Non-significant
Equus_quagga	Perissodactyla	1.28	0.8070	Non-significant
Ceratotherium_simum	Perissodactyla	2.05	0.2313	Non-significant
Equus_asinus	Perissodactyla	0.69	0.7744	Non-significant
Diceros_bicornis	Perissodactyla	0.64	0.6310	Non-significant
