orthogroup	Ceratotherium simum	Diceros bicornis	Equus asinus	Equus quagga	Equus caballus	Canis lupus	Bos taurus
LOC101394103_	LOC101394103_	NEK11_	NEK11_	NEK11_	NEK11_	NEK11_	NEK11_
LOC101395885_	LOC101395885_	ASTE1_	ASTE1_	ASTE1_	ASTE1_	ASTE1_	ASTE1_
LOC101394945_	LOC101394945_	ATP2C1_	ATP2C1_	ATP2C1_	ATP2C1_	ATP2C1_	ATP2C1_
LOC101396144_	LOC101396144_	PIK3R4_	PIK3R4_	PIK3R4_	PIK3R4_	PIK3R4_	PIK3R4_
LOC101396405_	LOC101396405_	COL6A5_	COL6A5_	COL6A5_	COL6A5_	COL6A5_	COL6A5_
LOC101396672_	LOC101396672_	CAPN7_	CAPN7_	CAPN7_	CAPN7_	CAPN7_	CAPN7_
LOC101394869_	LOC101394869_	SH3BP5_	SH3BP5_	SH3BP5_	SH3BP5_	SH3BP5_	SH3BP5_
LOC101397208_	LOC101397208_	METTL6_	METTL6_	METTL6_	METTL6_	METTL6_	METTL6_
LOC101396937_	LOC101396937_	EAF1_	EAF1_	EAF1_	EAF1_	EAF1_	EAF1_
LOC101398225_	LOC101398225_	HACL1_	HACL1_	HACL1_	HACL1_	COLQ_	HACL1_
LOC101398642_	LOC101398642_	BTD_	BTD_	BTD_	BTD_	BTD_	BTD_
LOC101398906_	LOC101398906_	ANKRD28_	ANKRD28_	ANKRD28_	ANKRD28_	ANKRD28_	ANKRD28_
LOC101399692_	LOC101399692_	GALNT15_	GALNT15_	GALNT15_	GALNT15_	GALNT15_	GALNT15_
LOC101400394_	LOC101400394_	OXNAD1_	OXNAD1_	OXNAD1_	OXNAD1_	OXNAD1_	OXNAD1_
LOC101395114_	LOC101395114_	RFTN1_	RFTN1_	RFTN1_	RFTN1_	RFTN1_	RFTN1_
LOC101400653_	LOC101400653_	DAZL_	DAZL_	DAZL_	DAZL_	DAZL_	DAZL_
LOC101400918_	LOC101400918_	PLCL2_	PLCL2_	PLCL2_	PLCL2_	PLCL2_	PLCL2_
LOC101401361_	LOC101401361_	TBC1D5_	TBC1D5_	TBC1D5_	TBC1D5_	TBC1D5_	TBC1D5_
LOC101401787_	LOC101401787_	SATB1_	SATB1_	SATB1_	SATB1_	SATB1_	SATB1_
LOC101402399_	LOC101402399_	KCNH8_	KCNH8_	KCNH8_	KCNH8_	KCNH8_	KCNH8_
LOC101402653_	LOC101402653_	EFHB_	EFHB_	EFHB_	EFHB_	EFHB_	EFHB_
LOC101402918_	LOC101402918_	RAB5A_	RAB5A_	RAB5A_	RAB5A_	RAB5A_	RAB5A_
LOC101395375_	LOC101395375_	PP2D1_	PP2D1_	PP2D1_	PP2D1_	PP2D1_	PP2D1_
LOC101395633_	LOC101395633_	KAT2B_	KAT2B_	KAT2B_	KAT2B_	KAT2B_	KAT2B_
LOC101403533_	LOC101403533_	SGO1_	SGO1_	SGO1_	SGO1_	SGO1_	SGO1_
LOC101404670_	LOC101404670_	LOC131413322_	UBE2E1_	UBE2E1_	UBE2E1_	UBE2E1_	UBE2E1_
LOC101405116_	LOC101405116_	NKIRAS1_	NKIRAS1_	NKIRAS1_	NKIRAS1_	NKIRAS1_	NKIRAS1_
LOC101405372_	LOC101405372_	RPL15_	RPL15_	RPL15_	RPL15_	RPL15_	RPL15_
LOC101405639_	LOC101405639_	NR1D2_	NR1D2_	NR1D2_	NR1D2_	NR1D2_	NR1D2_
LOC101406080_	LOC101406080_	THRB_	THRB_	THRB_	THRB_	THRB_	THRB_
LOC101406681_	LOC101406681_	RARB_	RARB_	RARB_	RARB_	RARB_	RARB_
LOC101396675_	LOC101396675_	TOP2B_	TOP2B_	TOP2B_	TOP2B_	TOP2B_	TOP2B_
LOC101407115_	LOC101407115_	NGLY1_	NGLY1_	NGLY1_	NGLY1_	NGLY1_	NGLY1_
LOC101407557_	LOC101407557_	OXSM_	OXSM_	OXSM_	OXSM_	OXSM_	OXSM_
LOC101407820_	LOC101407820_	LRRC3B_	LRRC3B_	LRRC3B_	LRRC3B_	LRRC3B_	LRRC3B_
LOC101408255_	LOC101408255_	NEK10_	NEK10_	NEK10_	NEK10_	NEK10_	NEK10_
LOC101408515_	LOC101408515_	SLC4A7_	SLC4A7_	SLC4A7_	SLC4A7_	SLC4A7_	SLC4A7_
LOC101409105_	LOC101409105_	EOMES_	EOMES_	EOMES_	EOMES_	EOMES_	EOMES_
LOC101387587_	LOC101387587_	AZI2_	AZI2_	AZI2_	AZI2_	AZI2_	AZI2_
LOC101389658_	LOC101389658_	TGFBR2_	TGFBR2_	TGFBR2_	TGFBR2_	TGFBR2_	TGFBR2_
LOC101389931_	LOC101389931_	GADL1_	GADL1_	GADL1_	GADL1_	GADL1_	GADL1_
LOC101390447_	LOC101390447_	STT3B_	STT3B_	STT3B_	STT3B_	STT3B_	STT3B_
LOC101390871_	LOC101390871_	OSBPL10_	OSBPL10_	OSBPL10_	OSBPL10_	OSBPL10_	OSBPL10_
LOC101391121_	LOC101391121_	GPD1L_	GPD1L_	GPD1L_	GPD1L_	GPD1L_	GPD1L_
LOC101391369_	LOC101391369_	CMTM8_	CMTM8_	CMTM8_	CMTM8_	CMTM8_	CMTM8_
LOC101398227_	LOC101398227_	CMTM7_	CMTM7_	CMTM7_	CMTM7_	CMTM7_	CMTM7_
LOC101391618_	LOC101391618_	CMTM6_	CMTM6_	CMTM6_	CMTM6_	CMTM6_	CMTM6_
LOC101391879_	LOC101391879_	DYNC1LI1_	DYNC1LI1_	DYNC1LI1_	DYNC1LI1_	DYNC1LI1_	DYNC1LI1_
LOC101392130_	LOC101392130_	CNOT10_	CNOT10_	CNOT10_	CNOT10_	CNOT10_	CNOT10_
LOC101392735_	LOC101392735_	TRIM71_	TRIM71_	TRIM71_	TRIM71_	TRIM71_	TRIM71_
LOC101392998_	LOC101392998_	CCR4_	CCR4_	CCR4_	CCR4_	CCR4_	CCR4_
LOC101393256_	LOC101393256_	GLB1_	GLB1_	GLB1_	GLB1_	GLB1_	GLB1_
LOC101393497_	LOC101393497_	TMPPE_	TMPPE_	TMPPE_	TMPPE_	TMPPE_	TMPPE_
LOC101393757_	LOC101393757_	CRTAP_	CRTAP_	CRTAP_	CRTAP_	LOC112668805_	CRTAP_
LOC101398989_	LOC101398989_	SUSD5_	SUSD5_	SUSD5_	SUSD5_	SUSD5_	SUSD5_
LOC101394014_	LOC101394014_	FBXL2_	FBXL2_	FBXL2_	FBXL2_	FBXL2_	FBXL2_
LOC101394431_	LOC101394431_	UBP1_	UBP1_	UBP1_	UBP1_	UBP1_	UBP1_
LOC101394867_	LOC101394867_	CLASP2_	CLASP2_	CLASP2_	CLASP2_	CLASP2_	CLASP2_
LOC101395112_	LOC101395112_	PDCD6IP_	PDCD6IP_	PDCD6IP_	PDCD6IP_	LOC112668798_	PDCD6IP_
LOC101395544_	LOC101395544_	ARPP21_	ARPP21_	ARPP21_	ARPP21_	ARPP21_	ARPP21_
LOC101396851_	LOC101396851_	STAC_	STAC_	STAC_	STAC_	STAC_	STAC_
LOC101397289_	LOC101397289_	DCLK3_	DCLK3_	DCLK3_	DCLK3_	DCLK3_	DCLK3_
LOC101397541_	LOC101397541_	TRANK1_	TRANK1_	TRANK1_	TRANK1_	TRANK1_	TRANK1_
LOC101397804_	LOC101397804_	EPM2AIP1_	EPM2AIP1_	EPM2AIP1_	EPM2AIP1_	EPM2AIP1_	EPM2AIP1_
LOC101398063_	LOC101398063_	MLH1_	MLH1_	MLH1_	MLH1_	MLH1_	MLH1_
LOC101398986_	LOC101398986_	LRRFIP2_	LRRFIP2_	LRRFIP2_	LRRFIP2_	LRRFIP2_	LRRFIP2_
LOC101399770_	LOC101399770_	GOLGA4_	GOLGA4_	GOLGA4_	GOLGA4_	GOLGA4_	GOLGA4_
LOC101400213_	LOC101400213_	ITGA9_	ITGA9_	ITGA9_	ITGA9_	ITGA9_	ITGA9_
LOC101400484_	LOC101400484_	CTDSPL_	CTDSPL_	CTDSPL_	CTDSPL_	CTDSPL_	CTDSPL_
LOC101400919_	LOC101400919_	VILL_	VILL_	VILL_	VILL_	VILL_	VILL_
LOC101401189_	LOC101401189_	PLCD1_	PLCD1_	PLCD1_	PLCD1_	PLCD1_	PLCD1_
LOC101401629_	LOC101401629_	DLEC1_	DLEC1_	DLEC1_	DLEC1_	DLEC1_	DLEC1_
LOC101401882_	LOC101401882_	ACAA1_	ACAA1_	ACAA1_	ACAA1_	ACAA1_	ACAA1_
LOC101402312_	LOC101402312_	MYD88_	MYD88_	MYD88_	MYD88_	MYD88_	MYD88_
LOC101403267_	LOC101403267_	OXSR1_	OXSR1_	OXSR1_	OXSR1_	OXSR1_	OXSR1_
LOC101403534_	LOC101403534_	SLC22A13_	SLC22A13_	SLC22A13_	SLC22A13_	SLC22A13_	SLC22A13_
LOC101399772_	LOC101399772_	SLC22A14_	SLC22A14_	SLC22A14_	SLC22A14_	SLC22A14_	SLC22A14_
LOC101403799_	LOC101403799_	XYLB_	XYLB_	XYLB_	XYLB_	XYLB_	XYLB_
LOC101404242_	LOC101404242_	ACVR2B_	ACVR2B_	ACVR2B_	ACVR2B_	ACVR2B_	ACVR2B_
LOC101404671_	LOC101404671_	EXOG_	EXOG_	EXOG_	EXOG_	EXOG_	EXOG_
LOC101405117_	LOC101405117_	SCN5A_	SCN5A_	SCN5A_	SCN5A_	SCN5A_	SCN5A_
LOC101406081_	LOC101406081_	SCN10A_	SCN10A_	SCN10A_	SCN10A_	SCN10A_	SCN10A_
LOC101400030_	LOC101400030_	SCN11A_	SCN11A_	SCN11A_	SCN11A_	SCN11A_	SCN11A_
LOC101406350_	LOC101406350_	LOC131400315_	WDR48_	WDR48_	WDR48_	WDR48_	WDR48_
LOC101407116_	LOC101407116_	GORASP1_	GORASP1_	GORASP1_	GORASP1_	GORASP1_	GORASP1_
LOC101407378_	LOC101407378_	TTC21A_	TTC21A_	TTC21A_	TTC21A_	TTC21A_	TTC21A_
LOC101407655_	LOC101407655_	CSRNP1_	CSRNP1_	CSRNP1_	CSRNP1_	CSRNP1_	CSRNP1_
LOC101407911_	LOC101407911_	XIRP1_	XIRP1_	XIRP1_	XIRP1_	XIRP1_	XIRP1_
LOC101408171_	LOC101408171_	CX3CR1_	CX3CR1_	CX3CR1_	CX3CR1_	CX3CR1_	CX3CR1_
LOC101408434_	LOC101408434_	CCR8_	CCR8_	CCR8_	CCR8_	CCR8_	CCR8_
LOC101408688_	LOC101408688_	SLC25A38_	SLC25A38_	SLC25A38_	SLC25A38_	SLC25A38_	SLC25A38_
LOC101408944_	LOC101408944_	LOC131414386_	LOC106842871_	LOC124247149_	LOC100034070_	LOC112668879_	LOC515736_
LOC101387087_	LOC101387087_	LOC131404829_	RPSA_	RPSA_	RPSA_	RPSA_	RPSA_
LOC101387333_	LOC101387333_	MOBP_	MOBP_	MOBP_	MOBP_	LOC112668731_	MOBP_
LOC101387761_	LOC101387761_	MYRIP_	MYRIP_	MYRIP_	MYRIP_	LOC112668723_	MYRIP_
LOC101388023_	LOC101388023_	EIF1B_	EIF1B_	EIF1B_	EIF1B_	EIF1B_	EIF1B_
LOC101388286_	LOC101388286_	ENTPD3_	ENTPD3_	ENTPD3_	ENTPD3_	ENTPD3_	ENTPD3_
LOC101388708_	LOC101388708_	RPL14_	RPL14_	RPL14_	RPL14_	RPL14_	RPL14_
LOC101400833_	LOC101400833_	ZNF621_	ZNF621_	ZNF621_	ZNF621_	ZNF621_	LOC132343483_
LOC101388978_	LOC101388978_	CTNNB1_	CTNNB1_	CTNNB1_	CTNNB1_	CTNNB1_	CTNNB1_
LOC101389932_	LOC101389932_	ULK4_	ULK4_	ULK4_	ULK4_	ULK4_	ULK4_
LOC101390191_	LOC101390191_	TRAK1_	TRAK1_	TRAK1_	TRAK1_	TRAK1_	TRAK1_
LOC101390785_	LOC101390785_	CCK_	CCK_	CCK_	CCK_	CCK_	CCK_
LOC101391027_	LOC101391027_	LYZL4_	LYZL4_	LYZL4_	LYZL4_	LYZL4_	LYZL4_
LOC101391279_	LOC101391279_	VIPR1_	VIPR1_	VIPR1_	VIPR1_	VIPR1_	VIPR1_
LOC101393257_	LOC101393257_	SS18L2_	SS18L2_	SS18L2_	SS18L2_	SS18L2_	SS18L2_
LOC101393758_	LOC101393758_	KLHL40_	KLHL40_	KLHL40_	KLHL40_	KLHL40_	KLHL40_
LOC101394259_	LOC101394259_	CCDC13_	CCDC13_	CCDC13_	CCDC13_	HHATL_	CCDC13_
LOC101394772_	LOC101394772_	ACKR2_	ACKR2_	ACKR2_	ACKR2_	ACKR2_	LOC112443512_
LOC101395029_	LOC101395029_	LOC131420972_	CYP8B1_	LOC124235764_	CYP8B1_	LOC112668685_	CYP8B1_
LOC101401631_	LOC101401631_	GASK1A_	GASK1A_	GASK1A_	GASK1A_	GASK1A_	GASK1A_
LOC101395720_	LOC101395720_	POMGNT2_	POMGNT2_	POMGNT2_	POMGNT2_	POMGNT2_	POMGNT2_
LOC101395979_	LOC101395979_	SNRK_	SNRK_	SNRK_	SNRK_	SNRK_	SNRK_
LOC101396591_	LOC101396591_	ANO10_	ANO10_	ANO10_	ANO10_	ANO10_	ANO10_
LOC101401884_	LOC101401884_	ABHD5_	ABHD5_	ABHD5_	ABHD5_	ABHD5_	ABHD5_
LOC101396852_	LOC101396852_	TOPAZ1_	TOPAZ1_	TOPAZ1_	TOPAZ1_	TOPAZ1_	TOPAZ1_
LOC101397117_	LOC101397117_	TCAIM_	TCAIM_	TCAIM_	TCAIM_	TCAIM_	TCAIM_
LOC101397371_	LOC101397371_	ZNF445_	ZNF445_	ZNF445_	ZNF445_	ZNF445_	ZNF445_
LOC101397805_	LOC101397805_	ZKSCAN7_	LOC106838413_	ZKSCAN7_	ZKSCAN7_	ZKSCAN7_	ZKSCAN7_
LOC101402401_	LOC101402401_	ZNF197_	ZNF197_	ZNF197_	ZNF197_	ZNF197_	ZNF197_
LOC101402922_	LOC101402922_	ZNF502_	LOC106838414_	ZNF502_	LOC100630888_	ZNF502_	ZNF502_
LOC101398064_	LOC101398064_	KIAA1143_	KIAA1143_	KIAA1143_	KIAA1143_	KIAA1143_	KIAA1143_
LOC101398319_	LOC101398319_	KIF15_	KIF15_	KIF15_	KIF15_	KIF15_	KIF15_
LOC101398988_	LOC101398988_	ZDHHC3_	ZDHHC3_	ZDHHC3_	ZDHHC3_	ZDHHC3_	ZDHHC3_
LOC101399434_	LOC101399434_	LOC131415073_	EXOSC7_	EXOSC7_	EXOSC7_	EXOSC7_	EXOSC7_
LOC101400123_	LOC101400123_	CDCP1_	CDCP1_	CDCP1_	CDCP1_	CDCP1_	CDCP1_
LOC101400396_	LOC101400396_	LARS2_	LARS2_	LARS2_	LARS2_	LARS2_	LARS2_
LOC101400654_	LOC101400654_	LIMD1_	LIMD1_	LIMD1_	LIMD1_	LIMD1_	LIMD1_
LOC101400920_	LOC101400920_	SACM1L_	SACM1L_	SACM1L_	SACM1L_	SACM1L_	SACM1L_
LOC101401190_	LOC101401190_	SLC6A20_	SLC6A20_	SLC6A20_	SLC6A20_	SLC6A20_	SLC6A20_
LOC101401447_	LOC101401447_	LZTFL1_	LZTFL1_	LZTFL1_	LZTFL1_	LZTFL1_	LZTFL1_
LOC101401708_	LOC101401708_	CCR9_	CCR9_	CCR9_	CCR9_	CCR9_	CCR9_
LOC101401972_	LOC101401972_	FYCO1_	FYCO1_	FYCO1_	FYCO1_	FYCO1_	FYCO1_
LOC101402228_	LOC101402228_	CXCR6_	CXCR6_	CXCR6_	CXCR6_	CXCR6_	CXCR6_
LOC101402485_	LOC101402485_	XCR1_	XCR1_	XCR1_	XCR1_	XCR1_	XCR1_
LOC101402747_	LOC101402747_	CCR1_	CCR1_	LOC124234684_	CCR1_	LOC112666826_	CCR1_
LOC101403008_	LOC101403008_	CCR3_	CCR3_	CCR3_	CCR3_	LOC112666827_	CCR3_
LOC101403268_	LOC101403268_	CCR2_	LOC106838386_	LOC124246603_	CCR2_	LOC112666829_	CCR2_
LOC101403800_	LOC101403800_	CCRL2_	CCRL2_	CCRL2_	CCRL2_	CCRL2_	CCRL2_
LOC101404243_	LOC101404243_	LTF_	LTF_	LTF_	LTF_	LTF_	LTF_
LOC101403453_	LOC101403453_	RTP3_	RTP3_	RTP3_	RTP3_	RTP3_	RTP3_
LOC101404504_	LOC101404504_	LRRC2_	LRRC2_	LRRC2_	LRRC2_	LRRC2_	LRRC2_
LOC101404763_	LOC101404763_	CRIPTO_	CRIPTO_	TDGF1_	CRIPTO_	TDGF1_	CRIPTO_
LOC106802021_	LOC106802021_	FAM240A_	FAM240A_	FAM240A_	FAM240A_	FAM240A_	FAM240A_
LOC101405023_	LOC101405023_	ALS2CL_	ALS2CL_	ALS2CL_	ALS2CL_	ALS2CL_	ALS2CL_
LOC101405290_	LOC101405290_	TMIE_	TMIE_	TMIE_	TMIE_	TMIE_	TMIE_
LOC101403979_	LOC101403979_	PRSS50_	PRSS50_	PRSS50_	PRSS50_	LOC112666838_	PRSS50_
LOC101404246_	LOC101404246_	LOC131410990_	LOC106838423_	LOC124237834_	LOC138918230_	LOC112666839_	PRSS46P_
LOC101405557_	LOC101405557_	LOC131410995_	LOC106838377_	LOC124225908_	PRSS45_	LOC112666842_	PRSS45_
LOC101405814_	LOC101405814_	MYL3_	MYL3_	MYL3_	MYL3_	MYL3_	MYL3_
LOC101406082_	LOC101406082_	PTH1R_	PTH1R_	PTH1R_	PTH1R_	PTH1R_	PTH1R_
LOC101406683_	LOC101406683_	CCDC12_	CCDC12_	CCDC12_	CCDC12_	CCDC12_	CCDC12_
LOC101405293_	LOC101405293_	NBEAL2_	NBEAL2_	NBEAL2_	NBEAL2_	NBEAL2_	NBEAL2_
LOC101406941_	LOC101406941_	SETD2_	SETD2_	SETD2_	SETD2_	SETD2_	SETD2_
LOC101407207_	LOC101407207_	KIF9_	KIF9_	KIF9_	KIF9_	KIF9_	KIF9_
LOC101407656_	LOC101407656_	KLHL18_	KLHL18_	KLHL18_	KLHL18_	KLHL18_	KLHL18_
LOC101408341_	LOC101408341_	PTPN23_	PTPN23_	PTPN23_	PTPN23_	PTPN23_	PTPN23_
LOC101408776_	LOC101408776_	SCAP_	SCAP_	SCAP_	SCAP_	LOC112666858_	SCAP_
LOC101387334_	LOC101387334_	ELP6_	ELP6_	ELP6_	ELP6_	ELP6_	ELP6_
LOC101387588_	LOC101387588_	CSPG5_	CSPG5_	CSPG5_	CSPG5_	CSPG5_	CSPG5_
LOC101406086_	LOC101406086_	SMARCC1_	SMARCC1_	SMARCC1_	SMARCC1_	SMARCC1_	SMARCC1_
LOC101387847_	LOC101387847_	DHX30_	DHX30_	DHX30_	DHX30_	DHX30_	DHX30_
LOC101388451_	LOC101388451_	MAP4_	MAP4_	MAP4_	MAP4_	MAP4_	MAP4_
LOC101388709_	LOC101388709_	CDC25A_	CDC25A_	CDC25A_	CDC25A_	CDC25A_	CDC25A_
LOC101389418_	LOC101389418_	NME6_	NME6_	NME6_	NME6_	NME6_	NME6_
LOC106802097_	LOC106802097_	SPINK8_	SPINK8_	SPINK8_	SPINK8_	SPINK8_	SPINK8_
LOC101389839_	LOC101389839_	PLXNB1_	PLXNB1_	PLXNB1_	PLXNB1_	PLXNB1_	PLXNB1_
LOC101390281_	LOC101390281_	CCDC51_	CCDC51_	CCDC51_	CCDC51_	CCDC51_	CCDC51_
LOC101390786_	LOC101390786_	ATRIP_	ATRIP_	ATRIP_	ATRIP_	LOC112665744_	ATRIP_
LOC106799920_	LOC106799920_	TREX1_	TREX1_	TREX1_	TREX1_	TREX1_	TREX1_
LOC101391532_	LOC101391532_	SHISA5_	SHISA5_	SHISA5_	SHISA5_	SHISA5_	SHISA5_
LOC101391960_	LOC101391960_	PFKFB4_	PFKFB4_	PFKFB4_	PFKFB4_	PFKFB4_	PFKFB4_
LOC101392400_	LOC101392400_	COL7A1_	COL7A1_	COL7A1_	COL7A1_	COL7A1_	COL7A1_
LOC101392653_	LOC101392653_	LOC131415846_	UQCRC1_	LOC124250987_	UQCRC1_	LOC112665750_	UQCRC1_
LOC101392913_	LOC101392913_	TMEM89_	TMEM89_	TMEM89_	TMEM89_	TMEM89_	TMEM89_
LOC101393418_	LOC101393418_	CELSR3_	LOC106830652_	CELSR3_	CELSR3_	LOC112665751_	CELSR3_
LOC101393678_	LOC101393678_	NCKIPSD_	NCKIPSD_	NCKIPSD_	NCKIPSD_	NCKIPSD_	NCKIPSD_
LOC101394104_	LOC101394104_	IP6K2_	IP6K2_	IP6K2_	IP6K2_	IP6K2_	IP6K2_
LOC101394349_	LOC101394349_	PRKAR2A_	PRKAR2A_	PRKAR2A_	PRKAR2A_	PRKAR2A_	PRKAR2A_
LOC101394947_	LOC101394947_	SLC25A20_	SLC25A20_	SLC25A20_	SLC25A20_	SLC25A20_	SLC25A20_
LOC101395459_	LOC101395459_	ARIH2_	ARIH2_	ARIH2_	ARIH2_	ARIH2_	ARIH2_
LOC101395196_	LOC101395196_	P4HTM_	P4HTM_	P4HTM_	P4HTM_	P4HTM_	P4HTM_
LOC101396060_	LOC101396060_	WDR6_	WDR6_	WDR6_	WDR6_	WDR6_	WDR6_
LOC101396327_	LOC101396327_	DALRD3_	DALRD3_	DALRD3_	DALRD3_	DALRD3_	DALRD3_
LOC101396938_	LOC101396938_	NDUFAF3_	NDUFAF3_	NDUFAF3_	NDUFAF3_	NDUFAF3_	NDUFAF3_
LOC101397210_	LOC101397210_	IMPDH2_	IMPDH2_	IMPDH2_	IMPDH2_	IMPDH2_	IMPDH2_
LOC101397806_	LOC101397806_	QRICH1_	QRICH1_	QRICH1_	QRICH1_	QRICH1_	QRICH1_
LOC101398394_	LOC101398394_	QARS1_	QARS1_	QARS1_	QARS1_	QARS1_	QARS1_
LOC101399084_	LOC101399084_	USP19_	USP19_	USP19_	USP19_	USP19_	USP19_
LOC101398823_	LOC101398823_	LAMB2_	LAMB2_	LAMB2_	LAMB2_	LAMB2_	LAMB2_
LOC101399341_	LOC101399341_	CCDC71_	CCDC71_	CCDC71_	CCDC71_	CCDC71_	CCDC71_
LOC101399606_	LOC101399606_	KLHDC8B_	KLHDC8B_	KLHDC8B_	KLHDC8B_	KLHDC8B_	KLHDC8B_
LOC101399862_	LOC101399862_	C2H3orf84_	CIMIP7_	C1H3orf84_	C16H3orf84_	C20H3orf84_	C22H3orf84_
LOC101407914_	LOC101407914_	IHO1_	IHO1_	IHO1_	IHO1_	IHO1_	IHO1_
LOC101400655_	LOC101400655_	C2H3orf62_	C21H3orf62_	C1H3orf62_	C16H3orf62_	C20H3orf62_	C22H3orf62_
LOC101400921_	LOC101400921_	USP4_	USP4_	USP4_	USP4_	USP4_	USP4_
LOC101401536_	LOC101401536_	GPX1_	GPX1_	GPX1_	GPX1_	GPX1_	GPX1_
LOC101401790_	LOC101401790_	RHOA_	RHOA_	RHOA_	RHOA_	RHOA_	RHOA_
LOC101402564_	LOC101402564_	TCTA_	TCTA_	TCTA_	TCTA_	TCTA_	TCTA_
LOC101402835_	LOC101402835_	AMT_	AMT_	AMT_	AMT_	AMT_	AMT_
LOC101403450_	LOC101403450_	NICN1_	NICN1_	NICN1_	NICN1_	NICN1_	NICN1_
LOC101403714_	LOC101403714_	DAG1_	DAG1_	DAG1_	DAG1_	DAG1_	DAG1_
LOC101403976_	LOC101403976_	BSN_	BSN_	BSN_	BSN_	BSN_	BSN_
LOC101404244_	LOC101404244_	APEH_	APEH_	APEH_	APEH_	APEH_	APEH_
LOC101404764_	LOC101404764_	RNF123_	RNF123_	RNF123_	RNF123_	RNF123_	RNF123_
LOC101405456_	LOC101405456_	AMIGO3_	AMIGO3_	AMIGO3_	AMIGO3_	AMIGO3_	AMIGO3_
LOC101405197_	LOC101405197_	GMPPB_	GMPPB_	GMPPB_	GMPPB_	GMPPB_	GMPPB_
LOC101405714_	LOC101405714_	IP6K1_	IP6K1_	IP6K1_	IP6K1_	IP6K1_	IP6K1_
LOC101406850_	LOC101406850_	INKA1_	INKA1_	INKA1_	INKA1_	INKA1_	INKA1_
LOC101407117_	LOC101407117_	UBA7_	UBA7_	UBA7_	UBA7_	UBA7_	UBA7_
LOC101407379_	LOC101407379_	TRAIP_	TRAIP_	TRAIP_	TRAIP_	LOC112665805_	TRAIP_
LOC101407657_	LOC101407657_	CAMKV_	CAMKV_	CAMKV_	CAMKV_	CAMKV_	CAMKV_
LOC101408256_	LOC101408256_	LOC131411027_	LOC106830712_	LOC124226544_	ACTL11_	LOC112665803_	ACTL11_
LOC101408437_	LOC101408437_	MST1R_	MST1R_	MST1R_	MST1R_	MST1R_	MST1R_
LOC101408517_	LOC101408517_	MON1A_	MON1A_	MON1A_	MON1A_	MON1A_	MON1A_
LOC101408777_	LOC101408777_	RBM6_	RBM6_	RBM6_	RBM6_	RBM6_	RBM6_
LOC101409029_	LOC101409029_	RBM5_	RBM5_	RBM5_	RBM5_	RBM5_	RBM5_
LOC101387336_	LOC101387336_	SEMA3F_	SEMA3F_	SEMA3F_	SEMA3F_	SEMA3F_	SEMA3F_
LOC101387590_	LOC101387590_	GNAT1_	GNAT1_	GNAT1_	GNAT1_	GNAT1_	GNAT1_
LOC101387849_	LOC101387849_	SLC38A3_	SLC38A3_	SLC38A3_	SLC38A3_	SLC38A3_	SLC38A3_
LOC101388115_	LOC101388115_	GNAI2_	GNAI2_	GNAI2_	GNAI2_	GNAI2_	GNAI2_
LOC101388534_	LOC101388534_	SEMA3B_	SEMA3B_	SEMA3B_	SEMA3B_	SEMA3B_	SEMA3B_
LOC101408692_	LOC101408692_	LSMEM2_	LSMEM2_	LSMEM2_	LSMEM2_	LSMEM2_	LSMEM2_
LOC101388790_	LOC101388790_	IFRD2_	IFRD2_	IFRD2_	IFRD2_	IFRD2_	IFRD2_
LOC101389064_	LOC101389064_	HYAL3_	HYAL3_	HYAL3_	HYAL3_	HYAL3_	HYAL3_
LOC101390021_	LOC101390021_	HYAL1_	HYAL2_	HYAL1_	HYAL2_	HYAL1_	HYAL1_
LOC101390449_	LOC101390449_	TUSC2_	TUSC2_	TUSC2_	TUSC2_	TUSC2_	TUSC2_
LOC101390702_	LOC101390702_	RASSF1_	RASSF1_	RASSF1_	RASSF1_	RASSF1_	RASSF1_
LOC101391451_	LOC101391451_	ZMYND10_	ZMYND10_	ZMYND10_	ZMYND10_	ZMYND10_	ZMYND10_
LOC101391697_	LOC101391697_	NPRL2_	NPRL2_	NPRL2_	NPRL2_	NPRL2_	NPRL2_
LOC101392218_	LOC101392218_	LOC131416849_	CYB561D2_	LOC124246136_	CYB561D2_	LOC112665828_	CYB561D2_
LOC101391962_	LOC101391962_	TMEM115_	TMEM115_	TMEM115_	TMEM115_	TMEM115_	TMEM115_
LOC101392654_	LOC101392654_	CACNA2D2_	CACNA2D2_	CACNA2D2_	CACNA2D2_	CACNA2D2_	CACNA2D2_
LOC101392914_	LOC101392914_	C2H3orf18_	C21H3orf18_	C1H3orf18_	C16H3orf18_	C20H3orf18_	C22H3orf18_
LOC101393340_	LOC101393340_	HEMK1_	HEMK1_	HEMK1_	HEMK1_	HEMK1_	HEMK1_
LOC101393593_	LOC101393593_	CISH_	CISH_	CISH_	CISH_	CISH_	CISH_
LOC101393851_	LOC101393851_	MAPKAPK3_	MAPKAPK3_	MAPKAPK3_	MAPKAPK3_	MAPKAPK3_	MAPKAPK3_
LOC101387091_	LOC101387091_	DOCK3_	DOCK3_	DOCK3_	DOCK3_	DOCK3_	DOCK3_
LOC101394105_	LOC101394105_	MANF_	MANF_	MANF_	MANF_	MANF_	MANF_
LOC101394350_	LOC101394350_	RBM15B_	RBM15B_	RBM15B_	RBM15B_	RBM15B_	RBM15B_
