orthogroup	Ceratotherium simum	Diceros bicornis	Equus asinus	Equus quagga	Equus caballus	Canis lupus	Bos taurus
LOC101392392_	LOC101392392_	OSBPL8_	OSBPL8_	OSBPL8_	OSBPL8_	OSBPL8_	OSBPL8_
LOC101392828_	LOC101392828_	ZDHHC17_	ZDHHC17_	ZDHHC17_	ZDHHC17_	ZDHHC17_	ZDHHC17_
LOC101393087_	LOC101393087_	CSRP2_	CSRP2_	CSRP2_	CSRP2_	CSRP2_	CSRP2_
LOC101393484_	LOC101393484_	E2F7_	E2F7_	E2F7_	E2F7_	E2F7_	E2F7_
LOC101393923_	LOC101393923_	NAV3_	NAV3_	NAV3_	NAV3_	NAV3_	NAV3_
LOC101394333_	LOC101394333_	SYT1_	SYT1_	SYT1_	SYT1_	SYT1_	SYT1_
LOC101406417_	LOC101406417_	PAWR_	PAWR_	PAWR_	PAWR_	PAWR_	PAWR_
LOC101394590_	LOC101394590_	PPP1R12A_	PPP1R12A_	PPP1R12A_	PPP1R12A_	PPP1R12A_	PPP1R12A_
LOC101395365_	LOC101395365_	OTOGL_	OTOGL_	OTOGL_	OTOGL_	OTOGL_	OTOGL_
LOC101395878_	LOC101395878_	MYF6_	MYF6_	MYF6_	MYF6_	MYF6_	MYF6_
LOC101396136_	LOC101396136_	MYF5_	MYF5_	MYF5_	MYF5_	MYF5_	MYF5_
LOC101396397_	LOC101396397_	LIN7A_	LIN7A_	LIN7A_	LIN7A_	LIN7A_	LIN7A_
LOC101396664_	LOC101396664_	ACSS3_	ACSS3_	ACSS3_	ACSS3_	ACSS3_	ACSS3_
LOC101396927_	LOC101396927_	PPFIA2_	PPFIA2_	PPFIA2_	PPFIA2_	PPFIA2_	PPFIA2_
LOC101398385_	LOC101398385_	CCDC59_	CCDC59_	CCDC59_	CCDC59_	CCDC59_	CCDC59_
LOC101398631_	LOC101398631_	METTL25_	METTL25_	METTL25_	METTL25_	METTL25_	METTL25_
LOC101398896_	LOC101398896_	TMTC2_	TMTC2_	TMTC2_	TMTC2_	TMTC2_	TMTC2_
LOC101399157_	LOC101399157_	SLC6A15_	SLC6A15_	SLC6A15_	SLC6A15_	SLC6A15_	SLC6A15_
LOC101399421_	LOC101399421_	TSPAN19_	TSPAN19_	TSPAN19_	TSPAN19_	TSPAN19_	TSPAN19_
LOC101406933_	LOC101406933_	LRRIQ1_	LRRIQ1_	LRRIQ1_	LRRIQ1_	LRRIQ1_	LRRIQ1_
LOC101399682_	LOC101399682_	ALX1_	ALX1_	ALX1_	ALX1_	ALX1_	ALX1_
LOC101399938_	LOC101399938_	RASSF9_	RASSF9_	RASSF9_	RASSF9_	RASSF9_	RASSF9_
LOC101400197_	LOC101400197_	NTS_	NTS_	NTS_	NTS_	NTS_	NTS_
LOC101400472_	LOC101400472_	MGAT4C_	MGAT4C_	MGAT4C_	MGAT4C_	MGAT4C_	MGAT4C_
LOC101400735_	LOC101400735_	C25H12orf50_	C4H12orf50_	C19H12orf50_	C28H12orf50_	C15H12orf50_	C5H12orf50_
LOC101400995_	LOC101400995_	RLIG1_	RLIG1_	C19H12orf29_	RLIG1_	C15H12orf29_	C5H12orf29_
LOC101401265_	LOC101401265_	CEP290_	CEP290_	CEP290_	CEP290_	CEP290_	CEP290_
LOC101401527_	LOC101401527_	TMTC3_	TMTC3_	TMTC3_	TMTC3_	TMTC3_	TMTC3_
LOC101401777_	LOC101401777_	KITLG_	KITLG_	KITLG_	KITLG_	KITLG_	KITLG_
LOC101402641_	LOC101402641_	DUSP6_	DUSP6_	DUSP6_	DUSP6_	DUSP6_	DUSP6_
