alias_id	full_species_name
Ceratotherium_simum	Ceratotherium simum
Diceros_bicornis	Diceros bicornis
Equus_asinus	Equus asinus
Equus_quagga	Equus quagga
Equus_caballus	Equus caballus
Canis_lupus	Canis lupus
Bos_taurus	Bos taurus
