Type,Num_Taxa,Taxa
Shared,2,"('Aotus_nancymaae', 'Callithrix_jacchus', 'Carlito_syrichta', 'Cebus_imitator', 'Cercocebus_atys', 'Chlorocebus_sabaeus', 'Colobus_angolensis', 'Cynocephalus_volans', 'Galeopterus_variegatus', 'Gorilla_gorilla', 'Homo_sapiens', 'Hylobates_moloch', 'Lemur_catta', 'Macaca_fascicularis', 'Macaca_mulatta', 'Macaca_nemestrina', 'Macaca_thibetana', 'Mandrillus_leucophaeus', 'Microcebus_murinus', 'Nomascus_leucogenys', 'Nycticebus_coucang', 'Otolemur_garnettii', 'Pan_paniscus', 'Papio_anubis', 'Piliocolobus_tephrosceles', 'Pongo_abelii', 'Pongo_pygmaeus', 'Propithecus_coquereli', 'Rhinopithecus_bieti', 'Rhinopithecus_roxellana', 'Saimiri_boliviensis', 'Sapajus_apella', 'Symphalangus_syndactylus', 'Theropithecus_gelada', 'Trachypithecus_francoisi', 'Tupaia_chinensis');('Eulemur_rufifrons',)"
Shared,2,"('Aotus_nancymaae', 'Callithrix_jacchus', 'Carlito_syrichta', 'Cebus_imitator', 'Cynocephalus_volans', 'Eulemur_rufifrons', 'Galeopterus_variegatus', 'Gorilla_gorilla', 'Homo_sapiens', 'Hylobates_moloch', 'Lemur_catta', 'Microcebus_murinus', 'Nomascus_leucogenys', 'Nycticebus_coucang', 'Otolemur_garnettii', 'Pan_paniscus', 'Pongo_abelii', 'Pongo_pygmaeus', 'Propithecus_coquereli', 'Saimiri_boliviensis', 'Sapajus_apella', 'Symphalangus_syndactylus', 'Tupaia_chinensis');('Cercocebus_atys', 'Chlorocebus_sabaeus', 'Colobus_angolensis', 'Macaca_fascicularis', 'Macaca_mulatta', 'Macaca_nemestrina', 'Macaca_thibetana', 'Mandrillus_leucophaeus', 'Papio_anubis', 'Piliocolobus_tephrosceles', 'Rhinopithecus_bieti', 'Rhinopithecus_roxellana', 'Theropithecus_gelada', 'Trachypithecus_francoisi')"
Shared,2,"('Aotus_nancymaae', 'Callithrix_jacchus', 'Carlito_syrichta', 'Cebus_imitator', 'Cercocebus_atys', 'Chlorocebus_sabaeus', 'Colobus_angolensis', 'Cynocephalus_volans', 'Eulemur_rufifrons', 'Galeopterus_variegatus', 'Gorilla_gorilla', 'Homo_sapiens', 'Hylobates_moloch', 'Lemur_catta', 'Macaca_fascicularis', 'Macaca_mulatta', 'Macaca_nemestrina', 'Macaca_thibetana', 'Mandrillus_leucophaeus', 'Microcebus_murinus', 'Nomascus_leucogenys', 'Nycticebus_coucang', 'Otolemur_garnettii', 'Pan_paniscus', 'Piliocolobus_tephrosceles', 'Pongo_abelii', 'Pongo_pygmaeus', 'Propithecus_coquereli', 'Rhinopithecus_bieti', 'Rhinopithecus_roxellana', 'Saimiri_boliviensis', 'Sapajus_apella', 'Symphalangus_syndactylus', 'Theropithecus_gelada', 'Trachypithecus_francoisi', 'Tupaia_chinensis');('Papio_anubis',)"
Shared,2,"('Aotus_nancymaae', 'Callithrix_jacchus', 'Carlito_syrichta', 'Cebus_imitator', 'Cercocebus_atys', 'Colobus_angolensis', 'Cynocephalus_volans', 'Eulemur_rufifrons', 'Galeopterus_variegatus', 'Gorilla_gorilla', 'Homo_sapiens', 'Hylobates_moloch', 'Lemur_catta', 'Macaca_fascicularis', 'Macaca_mulatta', 'Macaca_nemestrina', 'Macaca_thibetana', 'Mandrillus_leucophaeus', 'Microcebus_murinus', 'Nomascus_leucogenys', 'Nycticebus_coucang', 'Otolemur_garnettii', 'Pan_paniscus', 'Papio_anubis', 'Piliocolobus_tephrosceles', 'Pongo_abelii', 'Pongo_pygmaeus', 'Propithecus_coquereli', 'Rhinopithecus_bieti', 'Rhinopithecus_roxellana', 'Saimiri_boliviensis', 'Sapajus_apella', 'Symphalangus_syndactylus', 'Theropithecus_gelada', 'Trachypithecus_francoisi', 'Tupaia_chinensis');('Chlorocebus_sabaeus',)"
Shared,2,"('Aotus_nancymaae', 'Callithrix_jacchus', 'Carlito_syrichta', 'Cebus_imitator', 'Cercocebus_atys', 'Chlorocebus_sabaeus', 'Colobus_angolensis', 'Eulemur_rufifrons', 'Gorilla_gorilla', 'Homo_sapiens', 'Hylobates_moloch', 'Lemur_catta', 'Macaca_fascicularis', 'Macaca_mulatta', 'Macaca_nemestrina', 'Macaca_thibetana', 'Mandrillus_leucophaeus', 'Microcebus_murinus', 'Nomascus_leucogenys', 'Nycticebus_coucang', 'Otolemur_garnettii', 'Pan_paniscus', 'Papio_anubis', 'Piliocolobus_tephrosceles', 'Pongo_abelii', 'Pongo_pygmaeus', 'Propithecus_coquereli', 'Rhinopithecus_bieti', 'Rhinopithecus_roxellana', 'Saimiri_boliviensis', 'Sapajus_apella', 'Symphalangus_syndactylus', 'Theropithecus_gelada', 'Trachypithecus_francoisi');('Cynocephalus_volans', 'Galeopterus_variegatus', 'Tupaia_chinensis')"
Shared,2,"('Aotus_nancymaae', 'Callithrix_jacchus', 'Carlito_syrichta', 'Cebus_imitator', 'Cercocebus_atys', 'Chlorocebus_sabaeus', 'Colobus_angolensis', 'Cynocephalus_volans', 'Eulemur_rufifrons', 'Galeopterus_variegatus', 'Gorilla_gorilla', 'Homo_sapiens', 'Hylobates_moloch', 'Lemur_catta', 'Macaca_mulatta', 'Macaca_nemestrina', 'Macaca_thibetana', 'Mandrillus_leucophaeus', 'Microcebus_murinus', 'Nomascus_leucogenys', 'Nycticebus_coucang', 'Otolemur_garnettii', 'Pan_paniscus', 'Papio_anubis', 'Piliocolobus_tephrosceles', 'Pongo_abelii', 'Pongo_pygmaeus', 'Propithecus_coquereli', 'Rhinopithecus_bieti', 'Rhinopithecus_roxellana', 'Saimiri_boliviensis', 'Sapajus_apella', 'Symphalangus_syndactylus', 'Theropithecus_gelada', 'Trachypithecus_francoisi', 'Tupaia_chinensis');('Macaca_fascicularis',)"
Shared,2,"('Aotus_nancymaae', 'Callithrix_jacchus', 'Carlito_syrichta', 'Cebus_imitator', 'Cercocebus_atys', 'Chlorocebus_sabaeus', 'Colobus_angolensis', 'Cynocephalus_volans', 'Eulemur_rufifrons', 'Galeopterus_variegatus', 'Gorilla_gorilla', 'Homo_sapiens', 'Hylobates_moloch', 'Lemur_catta', 'Macaca_fascicularis', 'Macaca_mulatta', 'Macaca_nemestrina', 'Macaca_thibetana', 'Mandrillus_leucophaeus', 'Microcebus_murinus', 'Nycticebus_coucang', 'Otolemur_garnettii', 'Pan_paniscus', 'Papio_anubis', 'Piliocolobus_tephrosceles', 'Pongo_abelii', 'Pongo_pygmaeus', 'Propithecus_coquereli', 'Rhinopithecus_bieti', 'Rhinopithecus_roxellana', 'Saimiri_boliviensis', 'Sapajus_apella', 'Symphalangus_syndactylus', 'Theropithecus_gelada', 'Trachypithecus_francoisi', 'Tupaia_chinensis');('Nomascus_leucogenys',)"
Shared,2,"('Aotus_nancymaae', 'Callithrix_jacchus', 'Carlito_syrichta', 'Cebus_imitator', 'Cercocebus_atys', 'Chlorocebus_sabaeus', 'Colobus_angolensis', 'Cynocephalus_volans', 'Eulemur_rufifrons', 'Galeopterus_variegatus', 'Gorilla_gorilla', 'Homo_sapiens', 'Hylobates_moloch', 'Lemur_catta', 'Macaca_fascicularis', 'Macaca_mulatta', 'Macaca_nemestrina', 'Macaca_thibetana', 'Mandrillus_leucophaeus', 'Microcebus_murinus', 'Nomascus_leucogenys', 'Nycticebus_coucang', 'Otolemur_garnettii', 'Pan_paniscus', 'Papio_anubis', 'Piliocolobus_tephrosceles', 'Pongo_abelii', 'Pongo_pygmaeus', 'Propithecus_coquereli', 'Rhinopithecus_bieti', 'Saimiri_boliviensis', 'Sapajus_apella', 'Symphalangus_syndactylus', 'Theropithecus_gelada', 'Trachypithecus_francoisi', 'Tupaia_chinensis');('Rhinopithecus_roxellana',)"
Shared,2,"('Aotus_nancymaae', 'Callithrix_jacchus', 'Cebus_imitator', 'Saimiri_boliviensis', 'Sapajus_apella');('Carlito_syrichta', 'Cercocebus_atys', 'Chlorocebus_sabaeus', 'Colobus_angolensis', 'Cynocephalus_volans', 'Eulemur_rufifrons', 'Galeopterus_variegatus', 'Gorilla_gorilla', 'Homo_sapiens', 'Hylobates_moloch', 'Lemur_catta', 'Macaca_fascicularis', 'Macaca_mulatta', 'Macaca_nemestrina', 'Macaca_thibetana', 'Mandrillus_leucophaeus', 'Microcebus_murinus', 'Nomascus_leucogenys', 'Nycticebus_coucang', 'Otolemur_garnettii', 'Pan_paniscus', 'Papio_anubis', 'Piliocolobus_tephrosceles', 'Pongo_abelii', 'Pongo_pygmaeus', 'Propithecus_coquereli', 'Rhinopithecus_bieti', 'Rhinopithecus_roxellana', 'Symphalangus_syndactylus', 'Theropithecus_gelada', 'Trachypithecus_francoisi', 'Tupaia_chinensis')"
Shared,2,"('Aotus_nancymaae', 'Callithrix_jacchus', 'Carlito_syrichta', 'Cercocebus_atys', 'Chlorocebus_sabaeus', 'Colobus_angolensis', 'Cynocephalus_volans', 'Eulemur_rufifrons', 'Galeopterus_variegatus', 'Gorilla_gorilla', 'Homo_sapiens', 'Hylobates_moloch', 'Lemur_catta', 'Macaca_fascicularis', 'Macaca_mulatta', 'Macaca_nemestrina', 'Macaca_thibetana', 'Mandrillus_leucophaeus', 'Microcebus_murinus', 'Nomascus_leucogenys', 'Nycticebus_coucang', 'Otolemur_garnettii', 'Pan_paniscus', 'Papio_anubis', 'Piliocolobus_tephrosceles', 'Pongo_abelii', 'Pongo_pygmaeus', 'Propithecus_coquereli', 'Rhinopithecus_bieti', 'Rhinopithecus_roxellana', 'Saimiri_boliviensis', 'Symphalangus_syndactylus', 'Theropithecus_gelada', 'Trachypithecus_francoisi', 'Tupaia_chinensis');('Cebus_imitator', 'Sapajus_apella')"
