replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.1009,16.52,-7601.32,15287.03,42,-7602.62,15287.62,41,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.098,24.55,-7600.81,15286.01,42,-7602.18,15286.73,41,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.1035,0.0,-7601.27,15286.94,42,-7602.6,15287.57,41,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.099,20.14,-7601.09,15286.58,42,-7602.46,15287.28,41,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.1106,17.36,-7601.33,15287.04,42,-7602.55,15287.48,41,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.1007,16.88,-7601.35,15287.09,42,-7602.64,15287.65,41,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.0986,13.62,-7601.08,15286.54,42,-7602.43,15287.23,41,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.0995,20.82,-7600.99,15286.37,42,-7602.34,15287.06,41,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.0995,18.28,-7601.07,15286.52,42,-7602.42,15287.2,41,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.0978,19.89,-7601.06,15286.5,42,-7602.43,15287.22,41,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.0994,0.0,-7600.98,15290.39,44,-7602.34,15291.09,43,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.099,15.9,-7601.0,15290.42,44,-7602.34,15291.09,43,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.0996,0.0,-7600.99,15290.4,44,-7602.34,15291.1,43,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.0987,19.99,-7601.06,15290.54,44,-7602.42,15291.24,43,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.1115,0.0,-7601.06,15290.55,44,-7602.33,15291.06,43,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.0993,0.0,-7600.97,15290.37,44,-7602.33,15291.07,43,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.0988,0.0,-7601.05,15290.54,44,-7602.42,15291.24,43,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.0995,0.0,-7600.97,15290.38,44,-7602.33,15291.07,43,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.0988,10.91,-7601.09,15290.61,44,-7602.41,15291.23,43,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.0989,0.0,-7601.06,15290.54,44,-7602.42,15291.25,43,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.1035,0.0,-7601.2,15294.86,46,-7602.52,15295.49,45,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.0993,0.0,-7601.06,15294.6,46,-7602.42,15295.29,45,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.1019,11.15,-7601.41,15295.29,46,-7602.56,15295.58,45,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.0991,12.01,-7601.1,15294.67,46,-7602.42,15295.3,45,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.101,0.0,-7601.29,15295.04,46,-7602.63,15295.71,45,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.1016,0.0,-7601.24,15294.96,46,-7602.58,15295.62,45,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.1152,15.55,-7601.15,15294.77,46,-7602.36,15295.17,45,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.1272,0.0,-7601.29,15295.05,46,-7602.45,15295.36,45,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.0996,11.5,-7601.03,15294.53,46,-7602.35,15295.14,45,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.1017,0.0,-7601.29,15295.05,46,-7602.63,15295.71,45,0.2682,1.4927,Convergence/flat likelihood; Collapsed rate class
