replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.1482,0.0,-4062.33,8201.06,38,-4063.38,8201.13,37,0.2523,35.528,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.1483,0.0,-4062.33,8201.07,38,-4063.38,8201.14,37,0.2523,35.5275,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.1483,0.0,-4062.33,8201.07,38,-4063.38,8201.14,37,0.2523,35.5276,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.148,0.0,-4062.33,8201.06,38,-4063.38,8201.13,37,0.2523,35.5279,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.1482,0.0,-4062.33,8201.06,38,-4063.38,8201.13,37,0.2523,35.5279,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.1484,0.0,-4062.33,8201.07,38,-4063.38,8201.14,37,0.2523,35.5277,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.1482,0.0,-4062.33,8201.07,38,-4063.38,8201.14,37,0.2523,35.5277,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.1481,0.0,-4062.33,8201.07,38,-4063.38,8201.14,37,0.2523,35.528,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.1481,0.0,-4062.33,8201.07,38,-4063.38,8201.14,37,0.2523,35.5278,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.1481,0.0,-4062.33,8201.07,38,-4063.38,8201.14,37,0.2523,35.5278,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.1481,0.0,-4062.33,8205.11,40,-4063.38,8205.18,39,0.2523,35.5275,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.1482,0.0,-4062.33,8205.11,40,-4063.38,8205.18,39,0.2523,35.5281,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.1484,0.0,-4062.33,8205.11,40,-4063.38,8205.18,39,0.2523,35.528,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.1482,0.0,-4062.33,8205.11,40,-4063.38,8205.18,39,0.2523,35.5274,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.1487,0.0,-4062.34,8205.11,40,-4063.38,8205.18,39,0.2523,35.528,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.1481,0.0,-4062.33,8205.1,40,-4063.38,8205.17,39,0.2523,35.5277,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.1481,0.0,-4062.33,8205.11,40,-4063.38,8205.18,39,0.2523,35.5278,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.1488,0.0,-4062.33,8205.11,40,-4063.37,8205.17,39,0.2523,35.528,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.1484,0.0,-4062.33,8205.11,40,-4063.38,8205.18,39,0.2523,35.5276,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.1482,0.0,-4062.33,8205.11,40,-4063.38,8205.18,39,0.2523,35.5277,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.1483,0.0,-4062.33,8209.16,42,-4063.38,8209.22,41,0.2523,35.5276,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.1481,0.0,-4062.33,8209.15,42,-4063.38,8209.22,41,0.2523,35.5275,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.1481,0.0,-4062.33,8209.16,42,-4063.38,8209.22,41,0.2523,35.5282,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.1483,0.0,-4062.33,8209.15,42,-4063.38,8209.22,41,0.2523,35.5275,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.1481,0.0,-4062.33,8209.16,42,-4063.38,8209.22,41,0.2523,35.5278,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.1483,0.0,-4062.33,8209.15,42,-4063.38,8209.22,41,0.2523,35.5276,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.1482,0.0,-4062.33,8209.15,42,-4063.38,8209.22,41,0.2523,35.5279,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.1482,0.0,-4062.33,8209.15,42,-4063.38,8209.22,41,0.2523,35.5274,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.1481,0.0,-4062.33,8209.15,42,-4063.38,8209.22,41,0.2523,35.5279,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.1483,0.0,-4062.33,8209.15,42,-4063.38,8209.22,41,0.2523,35.5279,Convergence/flat likelihood; Collapsed rate class
