replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.4891,0.69,-5858.12,11786.69,35,-5858.36,11785.14,34,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.2479,0.78,-5858.15,11784.73,34,-5858.82,11784.05,33,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.2485,0.78,-5858.16,11784.74,34,-5858.82,11784.05,33,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.2479,0.78,-5858.15,11784.74,34,-5858.82,11784.05,33,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.2477,0.78,-5858.15,11784.73,34,-5858.82,11784.04,33,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.2475,0.78,-5858.15,11784.73,34,-5858.82,11784.05,33,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.4928,0.71,-5858.13,11786.71,35,-5858.36,11785.15,34,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.2474,0.78,-5858.15,11784.73,34,-5858.82,11784.05,33,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.2475,0.78,-5858.15,11784.73,34,-5858.82,11784.05,33,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.2946,0.78,-5858.0,11786.46,35,-5858.55,11785.53,34,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.2475,0.78,-5858.15,11788.78,36,-5858.82,11788.1,35,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.2474,0.78,-5858.15,11788.78,36,-5858.82,11788.1,35,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.2476,0.78,-5858.15,11788.78,36,-5858.82,11788.1,35,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.4909,0.7,-5858.12,11790.75,37,-5858.36,11789.19,36,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.2477,0.78,-5858.15,11788.78,36,-5858.82,11788.09,35,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.2478,0.78,-5858.15,11788.79,36,-5858.82,11788.1,35,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.2475,0.78,-5858.15,11788.78,36,-5858.82,11788.1,35,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.2478,0.78,-5858.15,11788.79,36,-5858.82,11788.1,35,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.2469,0.78,-5858.15,11788.78,36,-5858.82,11788.1,35,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.2478,0.78,-5858.15,11788.78,36,-5858.82,11788.09,35,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.2476,0.78,-5858.15,11792.84,38,-5858.82,11792.15,37,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.2475,0.78,-5858.15,11792.84,38,-5858.82,11792.15,37,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.2886,0.78,-5857.98,11794.53,39,-5858.55,11793.63,38,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.5114,0.76,-5858.14,11794.85,39,-5858.36,11793.26,38,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.2479,0.78,-5858.15,11792.84,38,-5858.82,11792.15,37,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.2476,0.78,-5858.15,11792.84,38,-5858.82,11792.15,37,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.2475,0.78,-5858.15,11792.84,38,-5858.82,11792.15,37,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.2476,0.78,-5858.15,11792.84,38,-5858.82,11792.15,37,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.2905,0.78,-5857.98,11794.53,39,-5858.54,11793.62,38,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.2476,0.78,-5858.15,11792.84,38,-5858.82,11792.15,37,0.2164,0.2855,Convergence/flat likelihood; Collapsed rate class
