metric	value
ntaxa	39
L_total	2787
L_valid_sites	2784
H_bar	0.235029
HFSS	1.339821
Var_HFSS	0.001397
Iss	0.175419
Iss_pos1	0.120177
Iss_pos2	0.079752
Iss_pos3	0.326327
pools_A	0.274784
pools_C	0.238185
pools_G	0.207174
pools_T	0.279856
