replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.1424,13.66,-4952.29,9982.96,39,-4952.83,9982.02,38,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.1424,0.01,-4951.75,9981.88,39,-4952.83,9982.02,38,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
3,SRV,1.0,33.32,-4952.86,9984.1,39,-4952.83,9982.02,38,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.1425,0.01,-4951.75,9981.88,39,-4952.83,9982.02,38,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.1424,0.02,-4951.75,9981.88,39,-4952.83,9982.02,38,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.1424,0.01,-4951.75,9981.88,39,-4952.83,9982.02,38,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.1424,0.01,-4951.75,9981.88,39,-4952.83,9982.02,38,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.1425,0.02,-4951.75,9981.88,39,-4952.83,9982.02,38,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.1425,0.01,-4951.75,9981.89,39,-4952.83,9982.02,38,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.1424,0.01,-4951.75,9981.88,39,-4952.83,9982.02,38,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.1428,0.01,-4951.76,9985.93,41,-4952.83,9986.06,40,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.1428,0.01,-4951.76,9985.93,41,-4952.83,9986.06,40,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.1424,0.01,-4951.75,9985.92,41,-4952.83,9986.06,40,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.1428,0.01,-4951.76,9985.93,41,-4952.83,9986.06,40,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.1426,0.01,-4951.76,9985.93,41,-4952.83,9986.06,40,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.1424,0.02,-4951.75,9985.92,41,-4952.83,9986.06,40,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.1426,0.01,-4951.76,9985.93,41,-4952.83,9986.06,40,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.1424,0.01,-4951.75,9985.92,41,-4952.83,9986.06,40,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.1427,0.01,-4951.76,9985.93,41,-4952.83,9986.06,40,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.1427,0.01,-4951.76,9985.93,41,-4952.83,9986.06,40,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.1425,0.01,-4951.76,9989.97,43,-4952.83,9990.1,42,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.1426,0.01,-4951.76,9989.97,43,-4952.83,9990.1,42,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,1.0,32.64,-4952.86,9992.19,43,-4952.83,9990.1,42,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.1424,0.02,-4951.75,9989.96,43,-4952.83,9990.1,42,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.1424,0.01,-4951.75,9989.96,43,-4952.83,9990.1,42,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.1424,17.03,-4952.27,9990.99,43,-4952.83,9990.1,42,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.1424,0.01,-4951.75,9989.96,43,-4952.83,9990.1,42,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.1425,0.01,-4951.75,9989.97,43,-4952.83,9990.1,42,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.1424,16.05,-4952.29,9991.04,43,-4952.83,9990.1,42,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.1425,0.02,-4951.75,9989.96,43,-4952.83,9990.1,42,0.2245,0.9684,Convergence/flat likelihood; Collapsed rate class
