metric	value
ntaxa	6
L_total	2784
L_valid_sites	2784
H_bar	0.082721
HFSS	1.072674
Var_HFSS	0.047918
Iss	0.077117
Iss_pos1	0.058529
Iss_pos2	0.033478
Iss_pos3	0.139344
pools_A	0.280673
pools_C	0.232087
pools_G	0.205008
pools_T	0.282231
