variant	codon_freq	model	lnL	np	AIC	status	job_dir
baseline_mask50	1	global_M0		0		codeml_failed	/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/codon_evolution/paml/baseline_mask50/F1/global_M0
baseline_mask50	1	global_free_ratio		0		codeml_failed	/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/codon_evolution/paml/baseline_mask50/F1/global_free_ratio
baseline_mask50	2	global_M0		0		codeml_failed	/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/codon_evolution/paml/baseline_mask50/F2/global_M0
baseline_mask50	2	global_free_ratio		0		codeml_failed	/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/codon_evolution/paml/baseline_mask50/F2/global_free_ratio
