foreground_id	kind	species_label	descendant_species	descendant_ids	source	species_status
terminal_Giraffa_tippelskirchi	terminal	Giraffa tippelskirchi	"[""Giraffa tippelskirchi""]"	"[""Giraffa_tippelskirchi""]"	refined_species_loss_call	DISRUPTED_HIGH
terminal_Hydropotes_inermis	terminal	Hydropotes inermis	"[""Hydropotes inermis""]"	"[""Hydropotes_inermis""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Moschus_berezovskii	terminal	Moschus berezovskii	"[""Moschus berezovskii""]"	"[""Moschus_berezovskii""]"	refined_species_loss_call	DISRUPTED_HIGH
terminal_Muntiacus_crinifrons	terminal	Muntiacus crinifrons	"[""Muntiacus crinifrons""]"	"[""Muntiacus_crinifrons""]"	refined_species_loss_call	DISRUPTED_HIGH
terminal_Muntiacus_feae	terminal	Muntiacus feae	"[""Muntiacus feae""]"	"[""Muntiacus_feae""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Muntiacus_gongshanensis	terminal	Muntiacus gongshanensis	"[""Muntiacus gongshanensis""]"	"[""Muntiacus_gongshanensis""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Muntiacus_reevesi	terminal	Muntiacus reevesi	"[""Muntiacus reevesi""]"	"[""Muntiacus_reevesi""]"	refined_species_loss_call	DISRUPTED_HIGH
terminal_Muntiacus_vaginalis	terminal	Muntiacus vaginalis	"[""Muntiacus vaginalis""]"	"[""Muntiacus_vaginalis""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Nanger_dama	terminal	Nanger dama	"[""Nanger dama""]"	"[""Nanger_dama""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Nilgiritragus_hylocrius	terminal	Nilgiritragus hylocrius	"[""Nilgiritragus hylocrius""]"	"[""Nilgiritragus_hylocrius""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Odocoileus_hemionus	terminal	Odocoileus hemionus	"[""Odocoileus hemionus""]"	"[""Odocoileus_hemionus""]"	refined_species_loss_call	DISRUPTED_LIKELY
terminal_Odocoileus_virginianus	terminal	Odocoileus virginianus	"[""Odocoileus virginianus""]"	"[""Odocoileus_virginianus""]"	refined_species_loss_call	DISRUPTED_HIGH
