taxon	delta_Iss
Aotus_nancymaae	9.246268202785235e-05
Callithrix_jacchus	-0.0003568562197567571
Carlito_syrichta	-0.005952202068701756
Cebus_imitator	0.00013123650964670663
Cercocebus_atys	0.001222869243720448
Chlorocebus_sabaeus	0.0010733716173228214
Colobus_angolensis	0.0008331012297661811
Eulemur_rufifrons	-0.0008594101504249968
Gorilla_gorilla	0.00022891354077474169
Homo_sapiens	0.0007248391651948072
Hylobates_moloch	0.0009197328038254016
Lemur_catta	-0.0010602722653124258
Macaca_fascicularis	0.0012355769590797344
Macaca_mulatta	0.001185755170743208
Macaca_nemestrina	0.001167413321597463
Macaca_thibetana	0.0011686302999434212
Mandrillus_leucophaeus	0.0012216336574453202
Microcebus_murinus	-0.0015583694711296114
Nomascus_leucogenys	0.0009028510349078506
Nycticebus_coucang	-0.002965922501370774
Otolemur_garnettii	-0.003475018505983307
Pan_paniscus	0.0007690298413420976
Papio_anubis	0.0011051994184442249
Piliocolobus_tephrosceles	0.0009035634259340897
Pongo_abelii	0.0008617099096640407
Pongo_pygmaeus	0.0008617099096640407
Propithecus_coquereli	-0.0008047743377845029
Rhinopithecus_bieti	0.001005799603245608
Rhinopithecus_roxellana	0.0010195936259526223
Saimiri_boliviensis	-4.975653877173358e-05
Sapajus_apella	0.00028397502835744715
Symphalangus_syndactylus	0.000860230916848545
Theropithecus_gelada	0.001205285278015153
Trachypithecus_francoisi	0.0010612125603220307
Cynocephalus_volans	-0.0022952758954773583
Galeopterus_variegatus	-0.002371126531398815
Tupaia_chinensis	-0.004751272958214425
