metric	value
ntaxa	37
L_total	2787
L_valid_sites	2787
H_bar	0.108329
HFSS	1.329011
Var_HFSS	0.001997
Iss	0.081511
Iss_pos1	0.061718
Iss_pos2	0.044622
Iss_pos3	0.138194
pools_A	0.289082
pools_C	0.218646
pools_G	0.195103
pools_T	0.297169
