alignment_source	taxon_id	aligned_nt	aligned_codons	frameshift_characters	internal_stop_codons	terminal_stop_codons	partial_gap_codons	full_gap_codons	ambiguous_codons	valid_sense_codons	valid_sense_fraction
refined	Capricornis_sumatraensis	3117	1039	31	2	0	0	117	13	887	0.8537054860442733
refined	Ovibos_moschatus	3117	1039	32	2	0	0	115	13	888	0.8546679499518768
refined	Odocoileus_virginianus	3117	1039	34	2	1	0	121	3	891	0.8575553416746872
refined	Odocoileus_hemionus	3117	1039	34	1	1	0	121	3	892	0.8585178055822906
refined	Budorcas_taxicolor	3117	1039	33	2	0	0	115	13	887	0.8537054860442733
refined	Capra_hircus	3117	1039	31	3	0	0	119	13	883	0.8498556304138595
refined	Capra_nubiana	3117	1039	31	3	0	0	119	13	883	0.8498556304138595
refined	Capra_ibex	3117	1039	30	2	0	0	119	13	885	0.8517805582290664
refined	Giraffa_camelopardalis	3117	1039	24	6	1	0	111	3	901	0.8671799807507219
refined	Okapia_johnstoni	3117	1039	23	3	1	0	112	3	904	0.8700673724735323
refined	Giraffa_tippelskirchi	3117	1039	24	4	1	0	111	3	903	0.8691049085659288
refined	Cervus_elaphus	3117	1039	31	1	1	0	119	64	835	0.8036573628488932
refined	Cervus_albirostris	3117	1039	29	2	1	0	120	71	827	0.7959576515880654
refined	Cervus_nippon	3117	1039	34	2	1	0	110	70	836	0.8046198267564967
refined	Rucervus_eldii	3117	1039	34	1	1	0	119	64	834	0.8026948989412896
refined	Bubalus_kerabau	3117	1039	23	2	1	0	126	158	736	0.7083734359961501
refined	Bubalus_bubalis	3117	1039	23	2	1	0	126	158	736	0.7083734359961501
refined	Syncerus_caffer	3117	1039	25	3	1	0	126	168	724	0.6968238691049086
refined	Sus_scrofa_REF	3117	1039	15	0	1	0	105	0	924	0.8893166506256015
refined	Canis_lupus_familiaris	3117	1039	18	0	0	0	105	0	923	0.888354186717998
refined	Felis_catus	3117	1039	18	0	0	0	105	0	923	0.888354186717998
refined	Equus_caballus	3117	1039	15	0	0	0	106	0	924	0.8893166506256015
refined	Oryctolagus_cuniculus	3117	1039	18	1	0	0	106	0	921	0.8864292589027911
refined	Homo_sapiens	3117	1039	15	0	0	0	108	0	922	0.8873917228103946
refined	Mus_musculus	3117	1039	15	1	0	0	106	0	924	0.8893166506256015
refined	Muntiacus_vaginalis	3117	1039	35	2	1	0	121	4	889	0.8556304138594802
refined	Muntiacus_feae	3117	1039	34	1	1	0	119	4	893	0.8594802694898941
refined	Muntiacus_gongshanensis	3117	1039	32	1	1	0	119	4	894	0.8604427333974976
refined	Muntiacus_reevesi	3117	1039	34	3	1	0	116	4	893	0.8594802694898941
refined	Alces_alces	3117	1039	32	2	1	0	120	10	885	0.8517805582290664
refined	Rangifer_tarandus	3117	1039	29	4	1	0	124	3	889	0.8556304138594802
refined	Capreolus_capreolus	3117	1039	32	2	1	0	121	4	891	0.8575553416746872
refined	Hydropotes_inermis	3117	1039	34	3	1	0	118	17	879	0.8460057747834456
refined	Moschus_berezovskii	3117	1039	31	4	1	0	118	3	893	0.8594802694898941
refined	Bison_bonasus	3117	1039	31	3	1	0	119	69	827	0.7959576515880654
refined	Cephalophula_zebra	3117	1039	35	2	1	0	116	10	886	0.8527430221366699
refined	Ovis_aries	3117	1039	34	3	0	0	116	13	884	0.8508180943214629
refined	Ovis_ammon_polii_x_Ovis_aries	3117	1039	34	2	0	0	116	13	885	0.8517805582290664
refined	Ovis_ammon	3117	1039	34	2	0	0	116	13	885	0.8517805582290664
refined	Ovis_orientalis	3117	1039	34	3	0	0	119	14	880	0.8469682386910491
refined	Ovis_vignei	3117	1039	32	3	0	0	119	14	881	0.8479307025986526
refined	Nilgiritragus_hylocrius	3117	1039	29	3	0	0	120	20	876	0.8431183830606352
refined	Beatragus_hunteri	3117	1039	28	3	0	0	124	16	877	0.8440808469682387
refined	Addax_nasomaculatus	3117	1039	33	3	0	0	116	13	885	0.8517805582290664
refined	Oryx_dammah	3117	1039	36	4	0	0	115	13	884	0.8508180943214629
refined	Rupicapra_rupicapra	3117	1039	34	4	0	0	120	81	812	0.7815206929740135
refined	Nanger_dama	3117	1039	30	4	1	0	118	58	838	0.8065447545717036
refined	Bos_gaurus	3117	1039	31	4	1	0	119	18	877	0.8440808469682387
refined	Bos_javanicus	3117	1039	31	4	1	0	119	18	877	0.8440808469682387
refined	Ovis_canadensis	3117	1039	35	3	0	0	119	14	880	0.8469682386910491
refined	Ovis_nivicola	3117	1039	35	3	0	0	119	14	880	0.8469682386910491
refined	Muntiacus_crinifrons	3117	1039	32	1	1	0	119	3	895	0.861405197305101
refined	Dama_dama	3117	1039	31	2	1	0	118	3	895	0.861405197305101
refined	Tragulus_kanchil	3117	1039	21	1	1	0	96	434	492	0.4735322425409047
altcost	Felis_catus	3138	1046	12	0	0	0	114	0	924	0.8833652007648184
altcost	Odocoileus_hemionus	3138	1046	22	2	1	0	132	3	893	0.8537284894837476
altcost	Hydropotes_inermis	3138	1046	22	4	1	0	129	17	881	0.8422562141491395
altcost	Tragelaphus_eurycerus	3138	1046	23	5	0	0	125	79	821	0.7848948374760994
altcost	Pseudois_nayaur	3138	1046	21	3	0	0	131	16	881	0.8422562141491395
altcost	Pantholops_hodgsonii	3138	1046	17	3	0	0	129	13	888	0.8489483747609943
altcost	Beatragus_hunteri	3138	1046	19	4	0	0	134	16	878	0.8393881453154876
altcost	Antilocapra_americana	3138	1046	26	6	1	0	126	3	892	0.8527724665391969
altcost	Oryx_dammah	3138	1046	24	4	0	0	126	13	886	0.847036328871893
altcost	Addax_nasomaculatus	3138	1046	24	4	0	0	126	13	886	0.847036328871893
